name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
44,"ENSMUSG00000097331,294.986979843497,2.33475880424813,0.362436309882045,6.44184575493549,1.1802920197505699e-10,3.5225159611667103e-09"
45,"ENSMUSG00000106214,447.38119027796205,2.02228501995575,0.314019039901915,6.44000765236217,1.19467478605133e-10,3.55753489504864e-09"
46,"ENSMUSG00000028459,599.1306095864251,1.66099117768635,0.26147374869884,6.35242040913043,2.1195309879567503e-10,6.043588358441451e-09"
47,"ENSMUSG00000114529,571.1736735661519,1.66815580652457,0.262861208623163,6.34614675654191,2.20774640777547e-10,6.26850618529059e-09"
48,"ENSMUSG00000021638,698.989554353427,1.69501444902862,0.267604762088365,6.334021994978219,2.38851441580472e-10,6.767457511446701e-09"
49,"ENSMUSG00000097636,641.029493541539,1.58892698974109,0.25194746381145605,6.3065806089246905,2.85267438669981e-10,7.964951562032941e-09"
50,"ENSMUSG00000095512,737.062771690671,1.5345922037496498,0.246340777760279,6.229550047304831,4.677767085342889e-10,1.2820900399215301e-08"
51,"ENSMUSG00000097876,243.434902619734,2.4088966955412596,0.38883196784418,6.195212571890679,5.82064202070712e-10,1.5760327084293703e-08"
52,"ENSMUSG00000001016,341.818755422317,1.95967193064812,0.33000655994887607,5.93828174491958,2.88024758282453e-09,7.176572363141639e-08"
53,"ENSMUSG00000105664,485.12556456915803,1.70978731371593,0.288361991901018,5.929308860866881,3.0421239766851897e-09,7.52407458690279e-08"
54,"ENSMUSG00000092673,613.521870912938,1.54728305880641,0.262076302437467,5.90394112102371,3.54918875226425e-09,8.61945839835604e-08"
55,"ENSMUSG00000095651,652.53499894201,1.54230569516581,0.262521313582072,5.87497325120477,4.22911630400233e-09,1.01423271362056e-07"
56,"ENSMUSG00000032525,331.88401185391103,2.57827108328668,0.441448373039606,5.8404815619410195,5.2050146020726e-09,1.23286324701649e-07"
57,"ENSMUSG00000115938,526.154236437592,1.5814579616177198,0.272702380106933,5.79920850341531,6.66286474434901e-09,1.55351169299665e-07"
58,"ENSMUSG00000086801,303.1730003159,1.9477315994761002,0.344611970245628,5.651955728896531,1.58632453446414e-08,3.48110106174075e-07"
59,"ENSMUSG00000104675,533.7231602400531,1.6416900649186499,0.293686970751602,5.5899315543935995,2.2715913443137e-08,4.857877667855579e-07"
60,"ENSMUSG00000105261,461.635685519606,1.62211391696459,0.290333723628775,5.58706683016487,2.3093687128716603e-08,4.92298758950261e-07"
61,"ENSMUSG00000083378,394.429020895394,1.7881772956009998,0.323603931693443,5.525820672954559,3.2794897640995e-08,6.79684375491609e-07"
62,"ENSMUSG00000117231,402.636367252264,1.6861632515423501,0.31098179868512,5.42206411652294,5.89147414987221e-08,1.17392430018967e-06"
63,"ENSMUSG00000020019,111.924192511959,3.0055375172707404,0.559348950661514,5.373278190146309,7.731790111211821e-08,1.51146930412773e-06"
64,"ENSMUSG00000092837,299.1273976606,1.87067927470893,0.348388436588939,5.36952171267421,7.89457322490093e-08,1.54104823270958e-06"
65,"ENSMUSG00000097613,265.703222873961,2.09081058791979,0.39715062728142103,5.2645279757754,1.4054999733526002e-07,2.5928385497425e-06"
66,"ENSMUSG00000030798,327.762977485066,1.73255928554119,0.331103574104055,5.232680710950911,1.6706918521503698e-07,3.03618289233823e-06"
67,"ENSMUSG00000116795,62.5600101494825,4.512163972247491,0.8803869815275909,5.12520524147038,2.9721380323656696e-07,5.259000497321599e-06"
68,"ENSMUSG00000086311,475.32827969372397,1.5129005154479298,0.297136787470599,5.09159612421814,3.5506178770134897e-07,6.20088401668286e-06"
69,"ENSMUSG00000054823,205.04179633843003,2.08258914952742,0.409921663659575,5.08045642412529,3.76529100903696e-07,6.52488493566018e-06"
70,"ENSMUSG00000073096,483.43189741303,1.54754221931448,0.30611930135327803,5.055356563513571,4.29587396601012e-07,7.340151064060539e-06"
71,"ENSMUSG00000005198,182.14790877334,2.20138705109967,0.436457285881777,5.04376286594047,4.5646494712938497e-07,7.77959928927365e-06"
72,"ENSMUSG00000028622,315.204339261109,1.77000634845947,0.352429830658922,5.0222943533189905,5.10578531472082e-07,8.63610790638547e-06"
73,"ENSMUSG00000107836,204.012483079052,2.06568190143981,0.41137772576652604,5.021375179200089,5.13028384757196e-07,8.655742722725059e-06"
74,"ENSMUSG00000107690,395.09501272802396,1.61599595915232,0.322497958065566,5.010871910152611,5.418397259791429e-07,9.05190057002365e-06"
75,"ENSMUSG00000026792,408.49423727157404,1.50985741295661,0.301317610453885,5.010850214437389,5.41900823402756e-07,9.05190057002365e-06"
76,"ENSMUSG00000031748,409.770361260314,1.51619392981803,0.305613491201172,4.961148553549919,7.00775704005518e-07,1.14633589583363e-05"
77,"ENSMUSG00000110287,186.779700397304,2.80884960296504,0.569264739777241,4.9341710573259405,8.049187445651959e-07,1.30556264969935e-05"
78,"ENSMUSG00000081809,385.311018549243,1.6121836439091297,0.331153617293307,4.86838602907724,1.12513381361759e-06,1.75499966514336e-05"
79,"ENSMUSG00000095947,320.087674625354,1.6049241782273,0.334564008769041,4.797061656847941,1.61010052300088e-06,2.42962359819121e-05"
80,"ENSMUSG00000055452,98.20832063753559,2.9308096397287797,0.6194242706131651,4.7315059786527005,2.2286025276263903e-06,3.27821817590607e-05"
81,"ENSMUSG00000106767,172.37595839148202,2.1120559627207602,0.44648635986671703,4.730393025559019,2.24085583193966e-06,3.2890375762786404e-05"
82,"ENSMUSG00000022489,184.94195320656996,2.13153391504462,0.46111731627676794,4.622541465706401,3.7906700802039595e-06,5.33075384053814e-05"
83,"ENSMUSG00000085161,149.526800582724,2.17792256758087,0.475405171450866,4.5811924193718205,4.62332205253099e-06,6.370527868076229e-05"
84,"ENSMUSG00000108705,62.3724579406801,3.63872421024539,0.8029904420353531,4.5314664032889995,5.85756538729419e-06,7.8667103151361e-05"
85,"ENSMUSG00000099373,262.182578913961,1.69208830692308,0.37344020717943804,4.5310822841045395,5.86822746533734e-06,7.87315632961843e-05"
86,"ENSMUSG00000065477,120.07692466636101,2.4428985374577503,0.540242715552466,4.5218537282073,6.13004154589791e-06,8.18354452896709e-05"
87,"ENSMUSG00000053740,239.01475772220402,1.8122934647769198,0.40157467804724895,4.5129674848763495,6.39268256444461e-06,8.491961111819101e-05"
