name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000095344,22318.922653023503,5.24397123056611,0.17197473297992402,30.4926842432038,3.257995168107479e-204,4.9172921072246175e-200"""
1,"1,""ENSMUSG00000081128,6691.1710037811,3.50724201297759,0.154473016420597,22.704560927509398,4.038484148409589e-114,3.047642062597289e-110"""
2,"2,""ENSMUSG00000074219,3013.8271776596503,3.82331085489013,0.171514467070462,22.291477332459802,4.4699678246925684e-110,2.2488408126028296e-106"""
3,"3,""ENSMUSG00000088499,10583.4442700335,3.31767420237131,0.164513898529976,20.166528372475398,1.9270022402677296e-90,7.271061203090218e-87"""
4,"4,""ENSMUSG00000025758,104078.85620050301,-3.17436344557046,0.15768856199989,-20.1305878201405,3.982425100736589e-90,1.2021348409083498e-86"""
5,"5,""ENSMUSG00000053604,31737.7452700023,-2.77871039594805,0.13879103612100901,-20.0208203181462,3.62700282434162e-89,9.123725604631338e-86"""
6,"6,""ENSMUSG00000062867,11322.6008283467,2.7955060921357995,0.143018782879641,19.5464262514972,4.4245077021932387e-85,9.539870678457498e-82"""
7,"7,""ENSMUSG00000082253,1361.64143418537,-4.11850953778747,0.211777343223141,-19.447356714868103,3.0684632017320794e-84,5.7890393879677885e-81"""
8,"8,""ENSMUSG00000114375,1670.9203051592099,-3.77565451234865,0.198731626897095,-18.9987601435162,1.74620935647605e-80,2.9283930908103394e-77"""
9,"9,""ENSMUSG00000114755,29101.1915972307,2.81428114318738,0.148435676278042,18.9596006415318,3.679270859774439e-80,5.553123508657559e-77"""
10,"10,""ENSMUSG00000105228,36982.3161677929,-2.60237631583094,0.13762329310813598,-18.9094175633928,9.540465844790088e-80,1.3090386454128797e-76"""
11,"11,""ENSMUSG00000106536,908.562889052818,-5.0871051031322,0.274097342894487,-18.5594834645678,6.835873833881839e-77,8.597820314564878e-74"""
12,"12,""ENSMUSG00000103396,1560.4611580716598,-3.86168305939648,0.209506890688001,-18.4322484416387,7.241009533350598e-76,8.406812068220039e-73"""
13,"13,""ENSMUSG00000030324,1534.8101297988198,-3.5254928532884597,0.19795629134735898,-17.809450911071,5.969252802597949e-71,6.435280896400779e-68"""
14,"14,""ENSMUSG00000028467,655.234891827698,5.786290880740101,0.326318902591771,17.732012564343602,2.3738265330151496e-70,2.3885442575198396e-67"""
15,"15,""ENSMUSG00000046709,4372.414454585411,2.9731508336614,0.16860388589468803,17.6339401543715,1.3520763937378998e-69,1.27543056316789e-66"""
16,"16,""ENSMUSG00000092889,2025.83177120564,-3.92499460436118,0.225152688021179,-17.4325904738564,4.66824976690795e-68,4.14458198423186e-65"""
17,"17,""ENSMUSG00000101438,3373.80898680847,-2.7995204403153098,0.163144396122326,-17.1597707727345,5.312289188370699e-66,4.454354484448839e-63"""
18,"18,""ENSMUSG00000103685,4587.016557396029,-2.9227096813534503,0.170827960433065,-17.1090825760848,1.2698380818700998e-65,1.0087192720876497e-62"""
19,"19,""ENSMUSG00000083374,13152.5430910021,-3.2146235047241496,0.194760334824975,-16.5055349058268,3.347536628564629e-61,2.5262185167462992e-58"""
20,"20,""ENSMUSG00000054594,1239.5352953073,-3.39882108938258,0.20871596780333299,-16.2844325000816,1.27304611104415e-59,9.149564263804489e-57"""
21,"21,""ENSMUSG00000107813,4678.89273178563,3.2523507561378597,0.20042283486777696,16.2274461304946,3.2260518093104696e-59,2.2132181799055795e-56"""
22,"22,""ENSMUSG00000085865,536.467150620259,-6.523139521208019,0.40466724601870097,-16.1197615704894,1.8532289000866097e-58,1.2161210343046596e-55"""
23,"23,""ENSMUSG00000103252,11970.397181838898,2.40952027080967,0.149586648690696,16.1078564958821,2.2467816078309497e-58,1.4129447836246898e-55"""
24,"24,""ENSMUSG00000049300,963.3786561013451,3.65613474086547,0.235415898741774,15.530534515325401,2.1557540887032997e-54,1.3014718584319598e-51"""
