name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000021759,3627.78968937457,2.7157281555106803,0.153960253641022,17.639150958030697,1.2329964181143697e-69,9.642031989654349e-67"""
1,"1,""ENSMUSG00000109565,3813.10437721799,2.10376005906691,0.15246924820089403,13.7979302967048,2.6227502601256698e-43,8.00386615968106e-41"""
2,"2,""ENSMUSG00000024538,7540.146358172479,1.72256757255007,0.13101956578618099,13.1474071236142,1.76110567093433e-39,4.59061544890215e-37"""
3,"3,""ENSMUSG00000090118,6837.34480703975,1.6638257055611798,0.127001340714686,13.1008515043871,3.25584255508998e-39,8.313694295772621e-37"""
4,"4,""ENSMUSG00000096022,13189.5490496696,1.60185725393315,0.125947392475176,12.7184630221612,4.6695479722779e-37,1.0622797132571099e-34"""
5,"5,""ENSMUSG00000020801,6225.724741678249,1.61581106453543,0.128823040666048,12.5428732017292,4.3493523071494994e-36,8.50298376047727e-34"""
6,"6,""ENSMUSG00000110913,3815.3820380900297,1.6432825055988702,0.13888788542340696,11.8317195239112,2.67602921136999e-32,4.46433033235484e-30"""
7,"7,""ENSMUSG00000081883,25122.8354281777,1.5780372502175,0.138558318046686,11.388975216094902,4.745377819238179e-30,6.903972938873039e-28"""
8,"8,""ENSMUSG00000022092,7938.84879162188,1.79375002981354,0.159452992774135,11.2493970706112,2.3318054659254296e-29,3.24172777662878e-27"""
9,"9,""ENSMUSG00000066107,1583.7207395676999,1.9479706799152299,0.18030451172029502,10.803782231124101,3.30310663150025e-27,4.17459294680113e-25"""
10,"10,""ENSMUSG00000086942,91708.09235164609,1.58682637608233,0.150389239039634,10.5514622337051,5.00126175604335e-26,5.793191964498839e-24"""
11,"11,""ENSMUSG00000013646,681.979402005521,2.96450110508389,0.288016410877184,10.292820107212599,7.59196475039611e-25,8.188850254910009e-23"""
12,"12,""ENSMUSG00000020869,1862.72683485163,1.66740355067018,0.175750880662952,9.48731263468238,2.37066994553024e-21,2.10367534457265e-19"""
13,"13,""ENSMUSG00000028636,1468.3662744165301,1.6028671430094201,0.181372961493518,8.837409555484962,9.7963489776115e-19,7.51974959557516e-17"""
14,"14,""ENSMUSG00000087721,1432.4068226906302,1.56940021924215,0.180714877521076,8.68439965082079,3.80747909412972e-18,2.76971967591576e-16"""
15,"15,""ENSMUSG00000046070,828.0093016146981,1.68707295392864,0.21541359395556198,7.8317849999599805,4.80991556141815e-15,2.58290401306712e-13"""
16,"16,""ENSMUSG00000035506,717.153312806821,1.68006718082643,0.223595394083599,7.51387204424383,5.74036933719559e-14,2.67001862999967e-12"""
17,"17,""ENSMUSG00000038374,1732.6677346408999,1.54320099185293,0.20805553706620603,7.41725509262397,1.1957251241077001e-13,5.4010515353196904e-12"""
18,"18,""ENSMUSG00000056687,494.171624830776,1.99855630268981,0.280761202095494,7.118349286772361,1.0922728406766001e-12,4.36629961103695e-11"""
19,"19,""ENSMUSG00000009114,635.521598139475,1.95849838718927,0.288405322299773,6.790784481964519,1.1152542566171698e-11,3.9016578346906405e-10"""
20,"20,""ENSMUSG00000087319,322.74033427685004,2.1304355815360303,0.31396037263791304,6.78568305813879,1.1553854682474901e-11,4.01537924998865e-10"""
21,"21,""ENSMUSG00000021597,320.973075712662,2.0487629916926204,0.314356843093687,6.5173163451130405,7.157637268627851e-11,2.20582161342541e-09"""
22,"22,""ENSMUSG00000032525,348.723520343453,1.96888639470491,0.30330647829301505,6.49140897281736,8.50372856420623e-11,2.59508906817923e-09"""
23,"23,""ENSMUSG00000067924,252.877533398831,2.22062938369256,0.34916612728697194,6.359807581986519,2.02006639827885e-10,5.83719879336375e-09"""
24,"24,""ENSMUSG00000063698,563.366391050218,1.7314309204577198,0.274159464412748,6.31541546145948,2.69436643938806e-10,7.6967837647542e-09"""
25,"25,""ENSMUSG00000073096,462.604905727697,1.78693256277655,0.283115923897361,6.31166392260004,2.7605119328878804e-10,7.86777341783443e-09"""
26,"26,""ENSMUSG00000002546,569.466782184566,1.70201771308682,0.271841178957009,6.261073909468251,3.82335249600391e-10,1.0630619206666899e-08"""
27,"27,""ENSMUSG00000097777,497.240364597787,1.89586155507922,0.309579166000661,6.1239959380056295,9.12572237394084e-10,2.38872465152192e-08"""
28,"28,""ENSMUSG00000090592,348.360021036695,2.0466528629549,0.33490862111097397,6.11107846721188,9.89600909545936e-10,2.57955970421641e-08"""
29,"29,""ENSMUSG00000109379,940.6428920652189,1.5409927620388502,0.25504293482097,6.0420915526265,1.5212909549567499e-09,3.83757911863283e-08"""
30,"30,""ENSMUSG00000112017,392.978643056628,1.68274322149088,0.29489412538662896,5.7062622705171595,1.15484010166553e-08,2.53497532491913e-07"""
31,"31,""ENSMUSG00000103396,399.65973071163904,1.6041647197819702,0.281706823435655,5.69444751184162,1.23772054280099e-08,2.70740549502202e-07"""
32,"32,""ENSMUSG00000052214,231.530491221191,2.10947362551562,0.37199602073857896,5.67068868459229,1.42224634111455e-08,3.07342767185237e-07"""
33,"33,""ENSMUSG00000031788,211.176227539779,2.2867395315612997,0.41059823771226794,5.56928725340453,2.55783493136473e-08,5.26375504296636e-07"""
34,"34,""ENSMUSG00000103367,250.42596070991797,1.9542732275361698,0.35457682913783706,5.51156496121881,3.5565711421258396e-08,7.08595830099977e-07"""
35,"35,""ENSMUSG00000025978,159.090735149832,2.3135404530784505,0.441208762288864,5.24364122116812,1.57438202971875e-07,2.814095422263e-06"""
36,"36,""ENSMUSG00000081002,362.726842836529,1.5732679512062901,0.300222771026176,5.24033518786327,1.6028518691717301e-07,2.85682088134995e-06"""
37,"37,""ENSMUSG00000034040,159.737737612301,2.64593375979007,0.52088906315865,5.0796492898991605,3.78132275949318e-07,6.24167682939033e-06"""
38,"38,""ENSMUSG00000026672,129.551760009592,2.3566334413896297,0.47828683383199,4.92723879206229,8.33998056568261e-07,1.2882695905903801e-05"""
39,"39,""ENSMUSG00000101111,180.69488068723098,1.93353282415402,0.412930144014635,4.68246954643614,2.8343930710092097e-06,3.8997815781090005e-05"""
40,"40,""ENSMUSG00000028187,112.47466316436899,2.39231520267727,0.514707262778475,4.64791421392261,3.35308298729455e-06,4.560192862720589e-05"""
41,"41,""ENSMUSG00000092541,295.142404299881,1.57799387915782,0.34510145195846403,4.5725506809741,4.81822630936603e-06,6.32588117342999e-05"""
42,"42,""ENSMUSG00000115896,95.5602119249143,2.6431378297328703,0.578095349222052,4.57214857945106,4.82748421724003e-06,6.331392298334101e-05"""
43,"43,""ENSMUSG00000037060,79.6825340526873,2.94668490461611,0.6562606790900589,4.49011345415643,7.11852473538555e-06,9.06073056858027e-05"""
44,"44,""ENSMUSG00000103780,106.386110836108,2.3814976933630603,0.535584757400659,4.44653747227821,8.72654505205921e-06,0.00010896859450236"""
45,"45,""ENSMUSG00000101583,160.885102995784,1.8845051049531698,0.42637162832367204,4.41986515932665,9.87625061198761e-06,0.000122348165997217"""
46,"46,""ENSMUSG00000043964,18039.5001560663,2.06307812043344,0.46989800154272293,4.39048072913727,1.13100338870536e-05,0.000138059652677868"""
47,"47,""ENSMUSG00000112529,199.106092579728,1.6961619299339898,0.39318072411970506,4.3139498604148,1.6036333114850598e-05,0.000189268218546772"""
48,"48,""ENSMUSG00000086436,131.599771619706,2.33318396767518,0.546176573689975,4.27184921519458,1.9385864666971498e-05,0.00022479697749133197"""
49,"49,""ENSMUSG00000073737,49.892340047059896,3.5019904377374704,0.840537918715245,4.16636817895168,3.09490717819699e-05,0.00034087569202113303"""
50,"50,""ENSMUSG00000097325,77.94743249852199,2.4921416270677597,0.614075133719552,4.05836597221004,4.9417281939478e-05,0.00051611772255989"""
51,"51,""ENSMUSG00000117183,62.3757763059577,2.73089235799626,0.689134022309829,3.9627884701482303,7.407941381340309e-05,0.000739140052339154"""
52,"52,""ENSMUSG00000109154,5095.57445929216,1.69856867978322,0.430059281472117,3.9496152111144305,7.827692722403679e-05,0.000777919708838085"""
53,"53,""ENSMUSG00000077925,187.25063975053502,1.54404044200764,0.39675527107953207,3.8916696375739503,9.95567441255506e-05,0.000963382817091175"""
54,"54,""ENSMUSG00000112216,214.32324318271301,1.56954051885871,0.42054358208738596,3.7321708990736,0.000189836631353338,0.00167861196571941"""
55,"55,""ENSMUSG00000047040,58.649367313833295,2.5942690259675296,0.70295780805398,3.69050460247299,0.00022380963911398198,0.0019339131247197102"""
56,"56,""ENSMUSG00000107534,201.68068802931597,1.56542580647863,0.44077893596415707,3.55149867371594,0.000383043922997873,0.00305264048697413"""
57,"57,""ENSMUSG00000050394,210.146324924112,1.50090707766313,0.432417118453549,3.47097053657547,0.0005185808966471259,0.00396849185250693"""
58,"58,""ENSMUSG00000028634,4923.033041578329,1.60551709519451,0.47794537458553704,3.3592062619850203,0.00078166701091333,0.00564349611108965"""
59,"59,""ENSMUSG00000024873,50.0247439010155,2.63889003194336,0.786970606358822,3.35322566131542,0.000798755540292128,0.0057337593360526394"""
60,"60,""ENSMUSG00000008301,126.71018203365401,1.5976750526242098,0.481174149894025,3.3203675903539103,0.000898989925639716,0.00636208255068107"""
61,"61,""ENSMUSG00000026288,63.4197861542076,2.4395298418446,0.7387618045601941,3.30218729066119,0.0009593399034275789,0.00670198820306302"""
62,"62,""ENSMUSG00000086030,3223.7685116949797,1.69235512204215,0.520006721948671,3.2544870106682997,0.00113597354855896,0.0077668311691638"""
63,"63,""ENSMUSG00000088674,89.7246030909816,1.7978060298610101,0.5594381673282111,3.21359201937732,0.0013108578670074599,0.00881324751853702"""
64,"64,""ENSMUSG00000017868,2632.64639454837,1.8868919880559298,0.58749099810634,3.21178025559191,0.00131915234449245,0.00885949228893697"""
65,"65,""ENSMUSG00000106547,78.30680365934249,2.00593191746073,0.625669994468645,3.20605420620224,0.00134568636128533,0.00900088192258606"""
66,"66,""ENSMUSG00000019842,46.7684278109478,2.4505160769976,0.793532658108999,3.08810992459619,0.0020143394614789197,0.0126143219930051"""
67,"67,""ENSMUSG00000107094,58.6965557196136,2.12010355001416,0.700763701105604,3.02541862066949,0.00248289211001198,0.0151025503551142"""
68,"68,""ENSMUSG00000019464,63.1985287991255,2.0035577916595,0.698056324971187,2.87019502579852,0.00410218699959746,0.0230888725771315"""
69,"69,""ENSMUSG00000105716,89.99369855646971,1.6009265534286201,0.558223549389219,2.8678950488209902,0.00413212578828842,0.0232156074822922"""
