name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000090118,68482.4587683485,-3.5914551141200297,0.12705379991488,-28.267199536937298,8.749096690988859e-176,1.1750036855997996e-171"""
1,"1,""ENSMUSG00000020801,43523.1262649675,-3.04180488689822,0.13213037926406,-23.0212378397796,2.8567181376498492e-117,1.9182862294318695e-113"""
2,"2,""ENSMUSG00000030867,7690.331934588579,-2.94611375035689,0.138830704602042,-21.220909011460602,6.122882159660249e-100,2.7410102468078996e-96"""
3,"3,""ENSMUSG00000079593,5632.62288875724,-3.05467279426242,0.146167231975653,-20.898478769655,5.527867720750339e-97,1.5450248480394095e-93"""
4,"4,""ENSMUSG00000114165,148977.933798027,-2.61784058902483,0.125276030228306,-20.896580010190398,5.752140163959079e-97,1.5450248480394095e-93"""
5,"5,""ENSMUSG00000110654,2484.4095595016197,-3.42146072799153,0.172469344269323,-19.8380804570619,1.39691362188773e-87,3.126758323658699e-84"""
6,"6,""ENSMUSG00000104077,3531.29114861943,-3.62755156852898,0.19626696437473104,-18.4827415051008,2.8435843668325e-76,5.455619720937209e-73"""
7,"7,""ENSMUSG00000087088,35350.6752230439,-2.25872460801003,0.125662953422281,-17.9744669888488,3.0881732170819797e-72,5.184270788176378e-69"""
8,"8,""ENSMUSG00000084216,7452.31773011913,-2.56151609338939,0.14377924541266,-17.8156178663868,5.346427557511999e-71,7.978058010820678e-68"""
9,"9,""ENSMUSG00000081895,2547.84157776595,-3.2428557060121603,0.18913148648960001,-17.146038273169697,6.72862185686132e-66,9.036539153764748e-63"""
10,"10,""ENSMUSG00000098903,2608.8289156825,2.85528252816609,0.166800423106969,17.1179573467569,1.0903467148049696e-65,1.3312142163482596e-62"""
11,"11,""ENSMUSG00000109910,7291.717248595551,-3.06575783022399,0.18239975475073397,-16.8079054405179,2.1358582549599999e-63,2.3903813636760693e-60"""
12,"12,""ENSMUSG00000020656,5194.4448230735,-2.4194554783273,0.14479493719049402,-16.7095309081438,1.1171083548334398e-62,1.1540588619548498e-59"""
13,"13,""ENSMUSG00000112831,5578.07365696785,-2.7602172065268498,0.16740801986325698,-16.4879628155297,4.477946622821489e-61,4.2956302246066195e-58"""
14,"14,""ENSMUSG00000040432,1382.2591577836902,3.2375425628723997,0.19969385320860503,16.2125298843845,4.11283730482101e-59,3.6823603335830794e-56"""
15,"15,""ENSMUSG00000021697,8349.617306023929,-2.29780492863059,0.144824217441622,-15.866164991064599,1.0868194658403498e-56,9.122490891397419e-54"""
16,"16,""ENSMUSG00000087040,11506.2838328151,-2.1621622608132802,0.136702447985364,-15.8165584645914,2.39216167590358e-56,1.7848184059658396e-53"""
17,"17,""ENSMUSG00000091569,1525.6505624642903,-3.60172853877826,0.22768665805527802,-15.818794871607402,2.3086948911166397e-56,1.7848184059658396e-53"""
18,"18,""ENSMUSG00000086935,6648.42050104275,-2.24233934794674,0.143744765979627,-15.5994504054815,7.342347106950299e-55,5.18988008664961e-52"""
19,"19,""ENSMUSG00000097777,2757.44613451149,-2.59570106885923,0.16732078537660097,-15.5133210916797,2.8191236124194795e-54,1.89304150573968e-51"""
20,"20,""ENSMUSG00000050310,1940.7690237532897,-3.0995152298927198,0.20054155969839896,-15.4557251601822,6.903032310909049e-54,4.414653520738509e-51"""
21,"21,""ENSMUSG00000024353,2891.8595208286797,-2.65555661867779,0.17500422205409502,-15.1742431554419,5.2378419076256384e-52,3.19746440088238e-49"""
22,"22,""ENSMUSG00000074930,11863.9688068047,-1.98062642306622,0.131875844559598,-15.018871952483499,5.523978248998039e-51,3.22552295148016e-48"""
23,"23,""ENSMUSG00000022587,9977.15340326875,-1.9865968439151898,0.13368614482785499,-14.860155077949901,5.978663337642049e-50,3.3455603593555302e-47"""
24,"24,""ENSMUSG00000067995,18159.3363712149,-1.92131883085336,0.12966065396385199,-14.818055995529699,1.11978476351526e-49,6.01548374960397e-47"""
25,"25,""ENSMUSG00000040167,144566.16488790698,-2.15863165648897,0.14681722991496302,-14.7028496433235,6.180316392679039e-49,3.1923711212953697e-46"""
26,"26,""ENSMUSG00000040950,3338.11879385617,-2.2614784807701,0.156056705418142,-14.4913893620312,1.3733651824876e-47,6.831220148447559e-45"""
27,"27,""ENSMUSG00000032908,18062.7058963248,-2.22712941430366,0.15374533194682,-14.4858343736512,1.48903457112136e-47,7.14204796077139e-45"""
28,"28,""ENSMUSG00000033520,1454.8175712744699,-2.8226982375630403,0.197435426892413,-14.296817354370699,2.2904740246783498e-46,1.06072641901484e-43"""
29,"29,""ENSMUSG00000026037,8358.669973706801,-1.9800942756396398,0.139390597588325,-14.205364708225401,8.48597113143318e-46,3.79888640983826e-43"""
30,"30,""ENSMUSG00000033009,3198.47273554745,2.71065122949939,0.19117787426792604,14.1786869420912,1.24147768451131e-45,5.378401710640949e-43"""
31,"31,""ENSMUSG00000099104,2609.5373708043303,-2.3386682126742,0.165264102728613,-14.1510961791541,1.8386863845769698e-45,7.716736920271449e-43"""
32,"32,""ENSMUSG00000036990,1961.09558530382,-2.52794768675404,0.179110543158787,-14.113896603579303,3.1185892750135603e-45,1.26917133222521e-42"""
33,"33,""ENSMUSG00000103830,9714.504273955741,-2.59102520221898,0.184475036290358,-14.045397438712401,8.220590513517529e-45,3.2471332528394294e-42"""
34,"34,""ENSMUSG00000104527,5218.49513859306,-2.0057772913757397,0.14449843696208098,-13.880961853601901,8.262764780530278e-44,3.17054088578633e-41"""
35,"35,""ENSMUSG00000096834,2712.29454329494,-2.25490336860975,0.16272386669633498,-13.8572381199478,1.150152104045e-43,4.2907063214789796e-41"""
36,"36,""ENSMUSG00000095648,33665.5559670703,-1.90460119319484,0.138385267043272,-13.763034417524299,4.25294552962059e-43,1.5437042827785001e-40"""
37,"37,""ENSMUSG00000020477,24614.1240303975,-2.32653728927314,0.16963082130005602,-13.7152981483111,8.22276843254828e-43,2.90609947497693e-40"""
38,"38,""ENSMUSG00000025980,1251.97375611607,-2.89313608396998,0.21250742404472198,-13.6142824043696,3.29364913897254e-42,1.1341976393949e-39"""
39,"39,""ENSMUSG00000109740,4313.912675565471,2.0425988108091797,0.150744769352837,13.550047670498099,7.91787041891533e-42,2.6584249931508195e-39"""
40,"40,""ENSMUSG00000018740,3428.84606924866,2.08743112767104,0.156380707522995,13.3483929107054,1.2103191131341798e-40,3.96453309497368e-38"""
41,"41,""ENSMUSG00000091845,3271.66292881675,-2.06558267786152,0.15625401320471,-13.219389604767402,6.781200838382629e-40,2.1683696966542604e-37"""
42,"42,""ENSMUSG00000025938,951.900292875816,-2.9397885222676097,0.223303639029648,-13.164982599666901,1.39569785658179e-39,4.35912144509151e-37"""
43,"43,""ENSMUSG00000103252,10781.6146101092,1.86449541428043,0.14258986492678302,13.075932256740801,4.5198837949463794e-39,1.37959180377568e-36"""
44,"44,""ENSMUSG00000082317,7104.4650317606,-1.79591274519112,0.138215124015425,-12.993605135359099,1.3301076911287699e-38,3.96963250930208e-36"""
45,"45,""ENSMUSG00000049612,1771.78795895558,2.63016769012505,0.203267386718005,12.939447555224,2.69560874730564e-38,7.870005538329299e-36"""
46,"46,""ENSMUSG00000115141,1121.36666432811,-2.7935143367388497,0.21664720387046899,-12.8943013656851,4.846351549179709e-38,1.3848191767124197e-35"""
47,"47,""ENSMUSG00000002767,11119.1392954251,-1.7949954980138,0.14000368422234,-12.821059017012502,1.24981713992271e-37,3.49688420607543e-35"""
48,"48,""ENSMUSG00000113611,13209.8560689648,-1.7075742943171102,0.134520794131498,-12.6937571647689,6.40384538538621e-37,1.75517639848443e-34"""
49,"49,""ENSMUSG00000020492,522.949079291888,-3.7833580333184904,0.29854707728623103,-12.672567648991599,8.39217100915484e-37,2.25413713305899e-34"""
50,"50,""ENSMUSG00000024777,18503.8486621721,-1.85287700619663,0.146232368647782,-12.6707720276316,8.586513380324208e-37,2.2611151901520397e-34"""
51,"51,""ENSMUSG00000092816,4091.9035332240996,-1.87629237828125,0.149556973219605,-12.5456696393966,4.19850071032294e-36,1.0843435488391802e-33"""
52,"52,""ENSMUSG00000028430,1773.67987578629,-2.38983941351285,0.19095661024461602,-12.515091310279699,6.173684251939929e-36,1.56438829251987e-33"""
53,"53,""ENSMUSG00000068335,2542.22593527622,-2.0960548940651598,0.16769062008930302,-12.499535710160199,7.508853986300009e-36,1.8674797969631302e-33"""
54,"54,""ENSMUSG00000051255,1474.99179282328,2.4200750692615802,0.19588513909064498,12.3545618646532,4.6025684931423195e-35,1.1238635429618399e-32"""
55,"55,""ENSMUSG00000074219,8070.0909406211795,1.8059613026020802,0.14681791580009101,12.3006875064287,8.98064670661394e-35,2.1537515226754495e-32"""
56,"56,""ENSMUSG00000083621,2456.84089417707,-2.04073627253051,0.165945279828568,-12.297645794075699,9.32525738656454e-35,2.1971615210800296e-32"""
57,"57,""ENSMUSG00000088982,25224.73395661,-1.65100569107693,0.134414236064214,-12.282967484844301,1.1182012654644698e-34,2.58921430951515e-32"""
58,"58,""ENSMUSG00000117508,8304.31434217967,-1.72462735878367,0.140701038515745,-12.257388978622801,1.53362161205834e-34,3.49093868643111e-32"""
59,"59,""ENSMUSG00000031432,1132.12629842968,2.79240898180578,0.22803644697373002,12.2454503166657,1.7768807908293797e-34,3.9772515034731095e-32"""
60,"60,""ENSMUSG00000083732,1742.90217210708,-2.27735944569557,0.18611697435496805,-12.236172727330699,1.99206703939595e-34,4.3858131703422293e-32"""
61,"61,""ENSMUSG00000073051,8700.187483755259,-1.75681689397499,0.144276075388439,-12.176772131103899,4.13318233130687e-34,8.95300624345989e-32"""
62,"62,""ENSMUSG00000035239,2123.9915630921105,-2.07939723545209,0.173288125844936,-11.9996521707022,3.56792693189275e-33,7.6059140786221585e-31"""
63,"63,""ENSMUSG00000032548,4175.79508857155,-2.07238208318312,0.173275853241609,-11.9600166117403,5.75504071054967e-33,1.2076593241044099e-30"""
64,"64,""ENSMUSG00000035172,12037.1480170052,-1.66088387226302,0.13914989648184697,-11.9359332220538,7.689165358145941e-33,1.58869985784461e-30"""
65,"65,""ENSMUSG00000031700,3238.54692280862,-1.86276595295063,0.15610937793173701,-11.932441071959,8.018704377519259e-33,1.6316848453043e-30"""
66,"66,""ENSMUSG00000028744,184861.871366795,-2.01502077605501,0.169232990095299,-11.906784693222699,1.0910374530084398e-32,2.18696014834378e-30"""
67,"67,""ENSMUSG00000087336,12366.6362306827,-1.58591497849927,0.133533070087069,-11.8765709308203,1.5666308957216198e-32,3.0940960190502003e-30"""
68,"68,""ENSMUSG00000102411,288.625635168217,-6.830841647348031,0.577283087757894,-11.8327416690454,2.6436343204794996e-32,5.1455085397159006e-30"""
69,"69,""ENSMUSG00000084413,4163.84319013825,-1.7565856651302099,0.149121430348216,-11.7795655596139,4.97488177558764e-32,9.54466603516315e-30"""
70,"70,""ENSMUSG00000042997,1803.5535329338,2.21873113232025,0.18903253308180898,11.737297787572,8.206682694518679e-32,1.5523344871462802e-29"""
71,"71,""ENSMUSG00000109231,336.071502395125,-4.79067458040136,0.41264292969640204,-11.609733829502598,3.677585843757139e-31,6.859719150230329e-29"""
72,"72,""ENSMUSG00000092889,827.012639476452,-2.8030507108390097,0.24286149278725602,-11.5417667851299,8.12392193400055e-31,1.4945790626524299e-28"""
