name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000097101,5324.0896635255385,4.08406743787756,0.094455484986892,43.2380124716349,0.0,0.0
ENSMUSG00000021257,5229.625214822329,3.65172048471894,0.0911936414502372,40.0435866651034,0.0,0.0
ENSMUSG00000037685,48325.1824947982,2.224971515538,0.0576659088716171,38.5838281070278,0.0,0.0
ENSMUSG00000111375,13851.4213134122,2.79792396720527,0.0656876433606788,42.5943727626576,0.0,0.0
ENSMUSG00000086718,3090.44334893782,4.86773901293125,0.125384430924526,38.8225154992436,0.0,0.0
ENSMUSG00000041219,6518.75277767673,2.99486261696289,0.0803639459342396,37.26624647592021,5.781753153232712e-304,1.2730456817892885e-300
ENSMUSG00000044211,7199.66372246207,2.93966955276801,0.0794407236998119,37.004566623490796,9.669637006748807e-300,1.824936778516548e-296
ENSMUSG00000085408,11057.7045051784,2.41027889104596,0.0691514832445561,34.8550570133391,3.569137623671696e-266,5.893984643290842e-263
ENSMUSG00000086918,7249.681581713299,2.67688798963108,0.0777465825376626,34.4309409141465,8.685798555841372e-260,1.2749787191246684e-256
ENSMUSG00000110368,9392.68853998758,2.32916322402488,0.0719196514726958,32.3856300236542,4.373650576759966e-230,5.778029776957585e-227
ENSMUSG00000026679,11163.9557538054,2.29562843997529,0.0731388035196192,31.387284580879,3.017282806656808e-216,3.623756650794828e-213
ENSMUSG00000100801,4792.8412383163395,2.65631075502427,0.0877974773458924,30.2549781078482,4.487123969817745e-201,4.939949563771846e-198
ENSMUSG00000118128,1667.5976217535901,4.80333369901551,0.15970289863755602,30.076684518523503,9.779747394604963e-199,9.938480217702012e-196
ENSMUSG00000116534,3151.41945670331,3.4782382465236097,0.115730579589673,30.054617015276605,1.9001536856788483e-198,1.7930664529645185e-195
ENSMUSG00000109829,5368.99126435944,2.48127009601998,0.0840339092636535,29.527010200549803,1.296082884336259e-191,1.1415033989977491e-188
ENSMUSG00000087034,8059.96839463255,2.15039698471923,0.0751507386499243,28.6144490839465,4.4417470638423666e-180,3.667495028776347e-177
ENSMUSG00000020074,8040.092340752091,2.14754973388703,0.0751400681652709,28.5806199851122,1.1700793575144389e-179,9.092893171837213e-177
ENSMUSG00000042102,9315.55985330925,2.0815368022803,0.0749734688335713,27.7636453890238,1.192516924029919e-169,8.752411712977385e-167
ENSMUSG00000082066,6231.70206795666,2.1966065666032297,0.0795654219010406,27.6075525538626,9.030684156228734e-168,6.279177283575678e-165
ENSMUSG00000086166,12654.794888075901,1.84219916648482,0.0677102254103598,27.2071043231671,5.352113055855146e-163,3.535338279045118e-160
ENSMUSG00000112639,4465.979509547979,2.436579076380549,0.0896441692920965,27.1805639521428,1.1025372886048792e-162,6.936009580837646e-160
ENSMUSG00000085467,6705.69034511447,2.22221589163358,0.0818086068560274,27.163595335933298,1.7494641615680293e-162,1.0505532290215992e-159
ENSMUSG00000097156,6120.0862525951,2.24815463370792,0.0845549525535109,26.5880893527221,9.321862867463844e-156,5.354396971394127e-153
ENSMUSG00000118367,4369.605919778111,2.4216939791929906,0.0917617623869139,26.3911014370224,1.7335178903204992e-153,9.542293687093385e-151
ENSMUSG00000104905,10905.4601056461,1.9952151794959097,0.0756339718764317,26.3798810243052,2.3317823778639785e-153,1.232207079758439e-150
ENSMUSG00000029685,15594.4083882111,1.7136255062920502,0.0656347463322473,26.108511147701698,2.9185075876672875e-150,1.482938605410479e-147
ENSMUSG00000035245,8484.899820873141,1.89897736945297,0.0731776983527328,25.9502199741167,1.807933487883839e-148,8.846151595716065e-146
ENSMUSG00000029068,12357.311639103702,2.00774460051384,0.0774602087867876,25.919690018396892,3.995429971763708e-148,1.885129477034659e-145
ENSMUSG00000103748,5585.854584013921,2.17810921224987,0.0840647717910163,25.9098926440271,5.152206434400706e-148,2.347096524305778e-145
ENSMUSG00000066767,3377.6277830659,2.6102466082676203,0.101240980284616,25.7825102140409,1.393084921868969e-146,6.134681634270336e-144
ENSMUSG00000019942,5213.30965626574,2.14486652127483,0.0843459192683188,25.4294047641076,1.1930724430034793e-142,5.08441291758678e-140
ENSMUSG00000035394,4160.04949555628,2.29487311645354,0.0913893714107547,25.1109410320715,3.777164183502878e-139,1.5593786258830195e-136
ENSMUSG00000021831,1851.29773143354,3.32215812342067,0.132561062165929,25.0613420648536,1.3133827278390095e-138,5.257908853782157e-136
ENSMUSG00000064793,6957.78135876876,2.07576142683317,0.0828816549901624,25.0448839019872,1.9849408433126486e-138,7.712662788530416e-136
ENSMUSG00000029092,11393.846679897,1.67712967727826,0.0670677047460874,25.0065166778516,5.192856961268638e-138,1.9600809518662887e-135
ENSMUSG00000091784,2588.4764749823607,2.78076715371196,0.112036655218636,24.8201550491254,5.432830131068238e-136,1.9936977461539593e-133
ENSMUSG00000030207,8619.83947945418,1.77670402368745,0.0723113064228171,24.5702105463113,2.6306170913284285e-133,9.392724971226996e-131
ENSMUSG00000052794,8831.7304314481,1.75548964165342,0.0718133131313114,24.445183839986402,5.662325718554916e-132,1.9685522386270796e-129
ENSMUSG00000102571,2603.9326723019603,2.69102429047568,0.110337227685033,24.389087408987894,2.232793654831019e-131,7.5634453779417e-129
ENSMUSG00000063830,8437.53105573685,1.7579965599011895,0.0726132728349955,24.2104024686507,1.728770653901749e-129,5.709697277173988e-127
ENSMUSG00000084383,6037.06898223611,1.92894296676216,0.0799577311017649,24.1245335526984,1.3820954038756993e-128,4.4533810684394874e-126
ENSMUSG00000088777,3821.20278363411,2.26768393166593,0.0941239702445841,24.0925231455206,2.994112313050318e-128,9.417908992311379e-126
