,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000081861.1,1895.3653305382502,4.73242245536938,0.17560559316014301,26.949155606072697,5.83576525413812e-160,5.066027817117298e-156
ENSMUSG00000081861.1,1931.61914523219,4.76347771239222,0.18332097708612502,25.984356990167605,7.441058254160317e-149,9.05874431861478e-145
ENSMUSG00000063632.6,1471.57647135664,1.66160391789038,0.151463763219478,10.9703065774395,5.309207044246629e-28,1.6158571639164599e-24
ENSMUSG00000049929.7,188.665456789804,1.6192877285408998,0.38930266593898205,4.15945707598804,3.19004961297774e-05,0.00147104787834815
ENSMUSG00000079263.8,93.6810477256786,1.93260397398308,0.5754085893453821,3.3586637561002006,0.000783203016864074,0.0220710961280168
ENSMUSG00000065430.1,54.8423266944283,2.05459275900992,0.7410503373028999,2.7725414261165295,0.0055620439441456,0.0979917843357866
ENSMUSG00000084782.2,10135.7776798767,2.53194161662747,0.12339165587227499,20.5195529529835,1.44030702457338e-93,1.7511252804763193e-89
ENSMUSG00000048349.9,739.939749549433,2.96612075214137,0.24085947238650698,12.3147357367853,7.54619533156479e-35,2.29366607102912e-31
ENSMUSG00000110635.1,2486.27398821177,1.75232184676062,0.15453666346876999,11.339198138665301,8.390976837569998e-30,2.04034992782352e-26
ENSMUSG00000018809.2,1146.2831584411301,2.34394426305058,0.221077863535094,10.6023471801758,2.90593862331251e-26,4.41630022277919e-23
ENSMUSG00000103436.1,479.00081176749495,2.8022107571779102,0.269734568003784,10.3887713685203,2.78922842819422e-25,3.76793769222059e-22
ENSMUSG00000074766.10,1820.57827647969,1.53958898393403,0.15499251525107502,9.93331182115488,2.9818384859605603e-23,3.0210993593590397e-20
ENSMUSG00000051455.13,1776.00727495154,1.5220879699032501,0.19490095389884501,7.80954602558395,5.73943368938758e-15,2.49214409984193e-12
ENSMUSG00000030770.15,1281.4442350766099,1.56239940879445,0.20920728127927102,7.46818848388359,8.13063281875925e-14,2.53467266180705e-11
ENSMUSG00000106843.1,509.474059518083,1.8673653858651498,0.26259042195425897,7.11132329948589,1.14935546850672e-12,2.7399732913930796e-10
ENSMUSG00000078877.11,674.52503279921,1.636052667852,0.23219236594948395,7.0461087777879206,1.8399044108874203e-12,4.06719233228531e-10
ENSMUSG00000034220.7,616.15677027296,1.72928635004417,0.25424163213651,6.801743426173671,1.03360564060672e-11,1.9333195966917606e-09
ENSMUSG00000000085.16,823.027637828194,1.5840996107710401,0.23318848086317398,6.7932155349497405,1.09661354067987e-11,2.0034586036544897e-09
ENSMUSG00000084478.1,1162.89527345338,1.54051777919116,0.23078603508186898,6.67509097179419,2.4707885050009102e-11,3.95261140050014e-09
ENSMUSG00000028248.15,575.717215792697,1.65529008046487,0.251938526108978,6.57021419482649,5.02429342961355e-11,7.54140240953599e-09
ENSMUSG00000012483.4,494.875574446156,1.6747638880098799,0.264849633212885,6.323451792979139,2.5578402631898996e-10,3.30832148083647e-08
ENSMUSG00000070225.1,414.322992259032,1.70025235012841,0.27607407714515303,6.15868163976314,7.33530181825234e-10,8.65850480643805e-08
ENSMUSG00000081875.1,515.820578828293,1.56192013567325,0.25482239499615195,6.12944610185001,8.818554247467419e-10,1.0211045956258e-07
ENSMUSG00000097255.1,438.042341420204,1.65273813998606,0.26975314439129106,6.1268540306195,8.9633632213773e-10,1.0280808494859e-07
ENSMUSG00000114140.1,254.50762929354198,2.2360338101800297,0.36534986450189294,6.120253563604231,9.34265686209336e-10,1.03261838299392e-07
ENSMUSG00000115358.1,71.22042007323671,4.79588197725867,0.791442913602194,6.0596688590344,1.3640206635629e-09,1.44206636761719e-07
ENSMUSG00000105360.1,395.88465507160697,2.04267948248514,0.343606505234643,5.94482191508636,2.7675757196964198e-09,2.72070108744124e-07
ENSMUSG00000113871.1,503.063560247371,1.6608745848611497,0.279642912080817,5.93926937930453,2.86295105836415e-09,2.76252055298343e-07
ENSMUSG00000103382.1,378.62732478054704,1.71132780803899,0.30608400514749895,5.591039646826099,2.25714030522126e-08,1.7819683007064998e-06
ENSMUSG00000019189.13,168.39258416109502,2.42916032396877,0.43783188519784005,5.54815765158613,2.8869550727731002e-08,2.19372498592346e-06
ENSMUSG00000072941.5,483.616745020357,1.6021644415977099,0.294507587254362,5.4401465732492005,5.32367531693161e-08,3.7630956106543295e-06
ENSMUSG00000106674.1,85.32179407501701,3.4239707980116005,0.633134872623729,5.4079643154428805,6.37451208763134e-08,4.35400662704617e-06
ENSMUSG00000093170.1,339.386840725755,1.86126105783551,0.35291092796169293,5.2740250028118805,1.33463712275467e-07,7.87695055264626e-06
ENSMUSG00000032497.18,344.644154688344,1.68311133361748,0.323933094681852,5.195861001082741,2.0377447945210603e-07,1.1417005166722198e-05
ENSMUSG00000106273.1,328.49553426331903,1.6361154886561298,0.31690985530511306,5.16271571005868,2.43392644739726e-07,1.3342954925676199e-05
ENSMUSG00000021699.17,205.662124110155,1.99241903187321,0.387408063363481,5.14294672799272,2.7046233343003e-07,1.4679826115367401e-05
ENSMUSG00000100218.1,66.25913610500841,3.61016777055731,0.7098724647774141,5.08565686047465,3.6635589578806896e-07,1.89538509829419e-05
ENSMUSG00000109524.1,213.251781872433,2.10444469073798,0.41475492183025003,5.0739474807228,3.89646640707262e-07,2.0073406176775e-05
