,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000097101.3,5324.089663525539,4.08406743787756,0.094455484986892,43.2380124716349,0.0,0.0
ENSMUSG00000021257.14,5229.625214822329,3.6517204847189397,0.0911936414502372,40.0435866651034,0.0,0.0
ENSMUSG00000037685.15,48325.1824947982,2.224971515538,0.0576659088716171,38.5838281070278,0.0,0.0
ENSMUSG00000111375.4,13851.4213134122,2.79792396720527,0.0656876433606788,42.5943727626576,0.0,0.0
ENSMUSG00000086718.1,3090.44334893782,4.86773901293125,0.125384430924526,38.8225154992436,0.0,0.0
ENSMUSG00000041219.14,6518.75277767673,2.99486261696289,0.0803639459342396,37.266246475920205,5.7817531532327156e-304,1.2730456817892892e-300
ENSMUSG00000044211.9,7199.66372246207,2.93966955276801,0.0794407236998119,37.004566623490796,9.669637006748812e-300,1.824936778516549e-296
ENSMUSG00000085408.1,11057.7045051784,2.41027889104596,0.0691514832445561,34.8550570133391,3.569137623671698e-266,5.8939846432908464e-263
ENSMUSG00000086918.1,7249.681581713299,2.67688798963108,0.0777465825376626,34.4309409141465,8.685798555841376e-260,1.2749787191246693e-256
ENSMUSG00000110368.1,9392.68853998758,2.32916322402488,0.0719196514726958,32.3856300236542,4.373650576759968e-230,5.778029776957588e-227
ENSMUSG00000026679.3,11163.9557538054,2.29562843997529,0.0731388035196192,31.387284580879,3.017282806656809e-216,3.6237566507948285e-213
ENSMUSG00000100801.1,4792.8412383163395,2.65631075502427,0.0877974773458924,30.2549781078482,4.487123969817748e-201,4.939949563771848e-198
ENSMUSG00000118128.1,1667.5976217535901,4.80333369901551,0.15970289863755602,30.076684518523503,9.779747394604966e-199,9.938480217702016e-196
ENSMUSG00000116534.1,3151.41945670331,3.4782382465236097,0.115730579589673,30.054617015276605,1.9001536856788494e-198,1.793066452964519e-195
ENSMUSG00000109829.1,5368.99126435944,2.48127009601998,0.0840339092636535,29.527010200549803,1.2960828843362594e-191,1.1415033989977496e-188
ENSMUSG00000087034.4,8059.96839463255,2.15039698471923,0.0751507386499243,28.6144490839465,4.441747063842368e-180,3.667495028776349e-177
ENSMUSG00000020074.7,8040.092340752091,2.14754973388703,0.0751400681652709,28.5806199851122,1.1700793575144395e-179,9.092893171837218e-177
ENSMUSG00000042102.7,9315.55985330925,2.0815368022803,0.0749734688335713,27.7636453890238,1.1925169240299193e-169,8.752411712977388e-167
ENSMUSG00000082066.1,6231.70206795666,2.1966065666032297,0.0795654219010406,27.6075525538626,9.030684156228736e-168,6.279177283575679e-165
ENSMUSG00000086166.1,12654.794888075901,1.8421991664848198,0.0677102254103598,27.2071043231671,5.352113055855148e-163,3.535338279045119e-160
ENSMUSG00000112639.1,4465.979509547979,2.4365790763805495,0.0896441692920965,27.1805639521428,1.1025372886048797e-162,6.936009580837648e-160
ENSMUSG00000085467.1,6705.69034511447,2.22221589163358,0.0818086068560274,27.163595335933298,1.7494641615680295e-162,1.0505532290215997e-159
ENSMUSG00000097156.7,6120.0862525951,2.24815463370792,0.0845549525535109,26.5880893527221,9.321862867463848e-156,5.354396971394128e-153
ENSMUSG00000118367.1,4369.605919778111,2.4216939791929906,0.0917617623869139,26.3911014370224,1.7335178903204995e-153,9.542293687093389e-151
ENSMUSG00000104905.1,10905.4601056461,1.9952151794959099,0.0756339718764317,26.3798810243052,2.3317823778639793e-153,1.2322070797584395e-150
ENSMUSG00000029685.15,15594.4083882111,1.7136255062920502,0.0656347463322473,26.108511147701698,2.918507587667289e-150,1.4829386054104795e-147
ENSMUSG00000035245.12,8484.899820873141,1.8989773694529701,0.0731776983527328,25.9502199741167,1.8079334878838394e-148,8.846151595716066e-146
