name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000084782,10135.7776798767,2.53194161662747,0.12339165587227499,20.5195529529835,1.44030702457338e-93,1.7511252804763193e-89"
1,"ENSMUSG00000028141,6177.232064295229,-1.6110295052706298,0.114631634408573,-14.053969600822,7.283429083268871e-45,4.4275965397191495e-41"
2,"ENSMUSG00000081861,2369.98985560876,-1.8909173818361202,0.142865263760116,-13.2356692737512,5.46081115032865e-40,2.2130847321898598e-36"
3,"ENSMUSG00000048349,739.939749549433,2.96612075214137,0.24085947238650698,12.3147357367853,7.54619533156479e-35,2.29366607102912e-31"
4,"ENSMUSG00000110635,2486.27398821177,1.75232184676062,0.15453666346876999,11.339198138665301,8.390976837569998e-30,2.04034992782352e-26"
5,"ENSMUSG00000031386,9288.3199393619,-1.27593626502494,0.11594026442966301,-11.005117775964699,3.6104387405435e-28,7.315952367921309e-25"
6,"ENSMUSG00000027404,1809.25087414381,-1.73055549382464,0.161326352270264,-10.7270478100534,7.598502567188e-27,1.3197513458838801e-23"
7,"ENSMUSG00000018809,1146.2831584411301,2.34394426305058,0.221077863535094,10.6023471801758,2.90593862331251e-26,4.41630022277919e-23"
8,"ENSMUSG00000103436,479.00081176749495,2.8022107571779102,0.269734568003784,10.3887713685203,2.78922842819422e-25,3.76793769222059e-22"
9,"ENSMUSG00000107569,64071.538626819696,-1.0781642165146101,0.10487945377613699,-10.2800327203833,8.6698163288444e-25,1.0384816775250199e-21"
10,"ENSMUSG00000030681,10942.930350325601,-1.1037277458672,0.107447198274436,-10.2722803720588,9.39570525808129e-25,1.0384816775250199e-21"
11,"ENSMUSG00000074766,1820.57827647969,1.53958898393403,0.15499251525107502,9.93331182115488,2.9818384859605603e-23,3.0210993593590397e-20"
12,"ENSMUSG00000090692,2809.73412544674,-1.37142884067865,0.138344028489885,-9.91317699541275,3.6485602722009395e-23,3.41224582995531e-20"
13,"ENSMUSG00000112186,2435.27365395755,1.34151527138081,0.141048020828863,9.51105349438758,1.88741302099784e-21,1.63908339352084e-18"
14,"ENSMUSG00000047454,7377.493696784742,-1.08452262318034,0.11428206911744698,-9.48987563452124,2.31310066921533e-21,1.87484519575467e-18"
15,"ENSMUSG00000032656,9260.55210282842,-1.02297605809542,0.11282642426484199,-9.06681271484908,1.22549309580802e-19,9.312215661771201e-17"
16,"ENSMUSG00000112450,13103.547626912099,-0.927632415747299,0.10464907652517699,-8.86421979580609,7.7041641550401e-19,5.50983692923397e-16"
17,"ENSMUSG00000046580,14953.865594945,-0.8955156669348341,0.10154315287214599,-8.81906501428397,1.15419413318586e-18,7.795940150707631e-16"
