name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000081861,2333.30068373913,1.8616751625293702,0.14815827874161,12.5654481028101,3.27016986480981e-36,4.51872071919419e-32"""
1,"1,""ENSMUSG00000048349,749.96068018366,-2.8058256362433,0.243317606309602,-11.5315355875773,9.14969717256041e-31,6.321525776521989e-27"""
2,"2,""ENSMUSG00000110635,2530.63211064706,-1.64226699697784,0.156366373185315,-10.5026865017297,8.395612753968309e-26,3.8670192344778e-22"""
3,"3,""ENSMUSG00000028141,5189.026101828689,1.26319575017233,0.123297171704467,10.2451316012349,1.24455398297753e-24,4.2993117341958894e-21"""
4,"4,""ENSMUSG00000084782,12633.180700248999,-1.12568230718196,0.13114370632806802,-8.58357856964914,9.1966441000554e-18,2.54158456349131e-14"""
5,"5,""ENSMUSG00000027404,1569.06023415056,1.45644135695402,0.17272529188100402,8.43212560878123,3.39442346664247e-17,7.817357243677609e-14"""
6,"6,""ENSMUSG00000034220,573.453395538002,-2.24519277056402,0.270083712799701,-8.31295137085554,9.335077981011551e-17,1.84274439345168e-13"""
7,"7,""ENSMUSG00000114140,231.536267151818,-3.2683016305251003,0.405192482134794,-8.06604706312851,7.26108288759757e-16,1.25417054176029e-12"""
8,"8,""ENSMUSG00000065873,1258.10474408596,1.4489867812758002,0.180979317491314,8.00636670179364,1.18147080753452e-15,1.813951513168e-12"""
9,"9,""ENSMUSG00000112566,1355.75792087932,1.39555279210758,0.17542029419920002,7.95548085515605,1.78437113167168e-15,2.46564402974393e-12"""
10,"10,""ENSMUSG00000030681,9855.620810506429,0.8764396172686858,0.112427403826078,7.79560487427527,6.4100673823268905e-15,8.05221009899937e-12"""
11,"11,""ENSMUSG00000031698,2488.78911830352,-1.08199655180819,0.14683441881363501,-7.368821019964559,1.72143584502005e-13,1.9822333755405899e-10"""
12,"12,""ENSMUSG00000027665,1743.2761133944,1.16469074205665,0.159938043453567,7.282136988219349,3.2857316884513596e-13,3.49248003623237e-10"""
13,"13,""ENSMUSG00000018809,1356.83618506088,-1.25064076306277,0.173605668313079,-7.2039166417502996,5.85071421271936e-13,5.77465492795401e-10"""
14,"14,""ENSMUSG00000033543,1729.71201480927,1.3587249284088,0.18975521316860103,7.160408959102191,8.043673503962929e-13,6.53808708692705e-10"""
15,"15,""ENSMUSG00000031386,7596.3011560309415,0.8702779626764441,0.12146391506675501,7.16490953052309,7.78379403233322e-13,6.53808708692705e-10"""
16,"16,""ENSMUSG00000055027,22861.8766777283,0.7547126738343092,0.10531218630192699,7.16643249310737,7.69773300165494e-13,6.53808708692705e-10"""
17,"17,""ENSMUSG00000078877,671.7171095997139,-1.6632607225025502,0.236761131156559,-7.02505818576576,2.13977058203211e-12,1.6426305501399802e-09"""
18,"18,""ENSMUSG00000103436,550.7720347655979,-1.6641165203509298,0.245709250793595,-6.772706013209269,1.2639563070363501e-11,9.19228855296226e-09"""
19,"19,""ENSMUSG00000036832,2675.48527498559,0.9477361780224078,0.141995438624365,6.6744128346936105,2.4822395755303e-11,1.71497932273388e-08"""
20,"20,""ENSMUSG00000001143,3123.95626849568,0.9547360241011509,0.150494063345921,6.34401120465878,2.23858535801392e-10,1.4729891655731598e-07"""
21,"21,""ENSMUSG00000090210,11241.8956729019,0.7107465038325659,0.11271593937346801,6.30564326379442,2.86999389286653e-10,1.8026170732558898e-07"""
22,"22,""ENSMUSG00000091931,1927.17346324573,0.9668777787590541,0.15554090864569298,6.21622817545389,5.09247367485789e-10,3.05946961909506e-07"""
23,"23,""ENSMUSG00000105360,397.792736382107,-1.91373932253315,0.31175581825094895,-6.13858414341661,8.32602081705827e-10,4.793706485421299e-07"""
24,"24,""ENSMUSG00000004561,1345.75480944685,-1.06681635852938,0.174085025004333,-6.128133987991361,8.891569471075211e-10,4.914548278052689e-07"""
25,"25,""ENSMUSG00000046580,13558.759691605,0.671617477997258,0.110129427392258,6.098437937074679,1.07109967771754e-09,5.692482825654239e-07"""
26,"26,""ENSMUSG00000088478,4287.484031797921,-0.8116272146536658,0.135583944912784,-5.98616019895094,2.14852760332521e-09,1.09956868232399e-06"""
27,"27,""ENSMUSG00000105261,8729.64512193116,0.690077072453236,0.11564807112107199,5.9670435119561605,2.41591000375732e-09,1.19225158685424e-06"""
28,"28,""ENSMUSG00000041354,197071.402305838,0.677335129480948,0.11460450991662599,5.91019611683437,3.41700667085e-09,1.62814476475191e-06"""
29,"29,""ENSMUSG00000113070,7652.25532025081,0.664456957733754,0.116000163642697,5.72806914118166,1.01580167269352e-08,4.67878250442635e-06"""
30,"30,""ENSMUSG00000022489,2738.48902329349,0.8317927624594359,0.145497327863452,5.71689373732049,1.08488911312783e-08,4.83580573070979e-06"""
31,"31,""ENSMUSG00000088752,10822.2144279061,-0.631638425417818,0.111388534011818,-5.67058747133526,1.4230868865807301e-08,6.1450670621164e-06"""
32,"32,""ENSMUSG00000090692,2382.99423091698,1.01353853303168,0.17985280802628398,5.63537786345574,1.74674905955121e-08,7.314114698448061e-06"""
33,"33,""ENSMUSG00000117095,4367.732273233039,0.719810737753234,0.128069981538911,5.62044851653652,1.90462344107174e-08,7.74061373786157e-06"""
34,"34,""ENSMUSG00000100218,64.5127303230341,-4.29537236846647,0.768820869149175,-5.58696120361561,2.31077321244961e-08,9.12293264275107e-06"""
35,"35,""ENSMUSG00000085459,616.049684974329,-1.4691792978736897,0.26370753876510394,-5.5712449661227,2.52925402940787e-08,9.70812004954388e-06"""
36,"36,""ENSMUSG00000108856,3773.31085511104,-0.735869573767028,0.13241369522108698,-5.5573524516355395,2.7389734254126e-08,1.02289553492841e-05"""
37,"37,""ENSMUSG00000107620,700.293078714256,1.2376949402109299,0.22309928337013302,5.547731581717071,2.8939970778913903e-08,1.05234872690272e-05"""
38,"38,""ENSMUSG00000117031,5934.03031824533,0.725811866523109,0.13130145552343903,5.52782803229127,3.24219620121145e-08,1.14000922795349e-05"""
39,"39,""ENSMUSG00000029406,223.06232042725603,2.15251363355997,0.38961480533403503,5.52472237730936,3.30007013447241e-08,1.14000922795349e-05"""
40,"40,""ENSMUSG00000065319,1449.4444682625399,-1.0952135566926,0.19863626934884301,-5.51366354333408,3.51440157635866e-08,1.18443904834449e-05"""
41,"41,""ENSMUSG00000090034,2479.83613924552,0.947630907759088,0.172783352902775,5.484503523278179,4.14632222354099e-08,1.33241582522999e-05"""
42,"42,""ENSMUSG00000108483,3425.2429427967104,0.732147127214807,0.133419871824252,5.4875418271967105,4.07565529975877e-08,1.33241582522999e-05"""
43,"43,""ENSMUSG00000067144,11830.0113797603,0.612701089344461,0.111804551516664,5.4801086452472605,4.25064738280451e-08,1.3348964894452901e-05"""
44,"44,""ENSMUSG00000109153,830.737915400425,-1.1305635321243501,0.20683301084714104,-5.46606911292264,4.6012499612954405e-08,1.41289048811512e-05"""
45,"45,""ENSMUSG00000105031,6582.99030134087,-0.6464322417179611,0.118389456607756,-5.46021799778757,4.7555029518534906e-08,1.42851173453721e-05"""
46,"46,""ENSMUSG00000029235,2744.11722718985,-0.764154762790177,0.140602756339073,-5.434849093195361,5.48428268785568e-08,1.5787878787664498e-05"""
47,"47,""ENSMUSG00000019851,830.210233044944,1.1429805063618401,0.210170791495994,5.438341351936259,5.3778865980644104e-08,1.5787878787664498e-05"""
48,"48,""ENSMUSG00000049922,6046.3242112545895,0.653726652020861,0.121073258551312,5.39943055834913,6.68527543606234e-08,1.88524767296958e-05"""
49,"49,""ENSMUSG00000113995,808.123699332507,1.1192823536483,0.213677524873453,5.2381847567318,1.62163680408779e-07,4.48155547177701e-05"""
50,"50,""ENSMUSG00000106674,85.8196810403315,-3.3737087952927705,0.649365399859537,-5.19539352731533,2.0428723096240198e-07,5.5349822694872e-05"""
51,"51,""ENSMUSG00000097111,4810.2884132402505,0.7304409054545279,0.141194829082363,5.173283683274559,2.30015382294096e-07,6.11221644719196e-05"""
52,"52,""ENSMUSG00000110517,1113.60836152289,-0.956686382873675,0.185249138771457,-5.1643229718543795,2.4131073012464e-07,6.29138050728732e-05"""
53,"53,""ENSMUSG00000062014,6629.25810047403,0.6152434472603481,0.120148937141562,5.12067324020899,3.0444678378155305e-07,7.79045492276573e-05"""
54,"54,""ENSMUSG00000024805,2358.86718625605,0.7837277953269499,0.15333775693661802,5.11112077667147,3.20253151720345e-07,8.04592372813042e-05"""
55,"55,""ENSMUSG00000115358,75.4881698620311,-3.35944680474347,0.66303783524484,-5.06674977831835,4.04665651621742e-07,9.9851249537665e-05"""
56,"56,""ENSMUSG00000110915,15262.0899532819,0.562079757745804,0.11108908057834,5.05972103486288,4.1987030426647207e-07,0.00010178540112901999"""
57,"57,""ENSMUSG00000039633,299.43582888967,1.6109712078630802,0.32077903506568395,5.02205889961982,5.1120500374432e-07,0.00011972594477523799"""
58,"58,""ENSMUSG00000074925,2421.50528550895,-0.9009599034046891,0.17929956120160698,-5.02488627058958,5.037309601415201e-07,0.00011972594477523799"""
59,"59,""ENSMUSG00000040414,104.459871948228,-2.79039204041661,0.56017923621964,-4.981248607584111,6.31753159541896e-07,0.000145492752642499"""
60,"60,""ENSMUSG00000079477,1676.75052994526,-0.799845363220641,0.16219265344580802,-4.93145248090961,8.16204245318379e-07,0.000184890332160809"""
61,"61,""ENSMUSG00000027200,2806.40981580651,-0.689642234288849,0.140016608037192,-4.925431660976,8.41743258469347e-07,0.00018760013460531299"""
62,"62,""ENSMUSG00000095971,2431.8032665679198,-0.798607736764028,0.163016086702383,-4.898950483469999,9.63499197814217e-07,0.00021132749072058502"""
63,"63,""ENSMUSG00000112450,11143.079268603702,0.556906488267777,0.11382063531932599,4.89284290766227,9.93897374092215e-07,0.000214588654925097"""
64,"64,""ENSMUSG00000109749,276.80050095112006,-1.69400860131832,0.347126224797151,-4.88009398399168,1.06035297352105e-06,0.000225414729047906"""
65,"65,""ENSMUSG00000107370,3889.526858700179,0.652225987192906,0.13436006013917098,4.854314492843541,1.2080389313854601e-06,0.000252919423543702"""
66,"66,""ENSMUSG00000084157,7859.205100890859,0.553061343099152,0.11569708609205699,4.78025300186988,1.75074732360257e-06,0.00035179885704082796"""
67,"67,""ENSMUSG00000103289,4665.31859583584,0.610359142390405,0.127701678561285,4.7795702395367305,1.75670293355168e-06,0.00035179885704082796"""
68,"68,""ENSMUSG00000113871,528.352626052465,-1.46038841526319,0.30530289906027697,-4.7834082799680795,1.7234755352572898e-06,0.00035179885704082796"""
69,"69,""ENSMUSG00000091315,10429.688114566501,0.5914666443475269,0.12425778366300501,4.75999673349737,1.9359609242822897e-06,0.000382158686453323"""
70,"70,""ENSMUSG00000069793,8764.751126904821,0.557900837181329,0.11776103963833999,4.73756718601259,2.16299157273102e-06,0.00042096081059151097"""
