name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000081861,2333.30068373913,1.8616751625293702,0.14815827874161,12.5654481028101,3.27016986480981e-36,4.51872071919419e-32"""
1,"1,""ENSMUSG00000029406,223.06232042725603,2.15251363355997,0.38961480533403503,5.52472237730936,3.30007013447241e-08,1.14000922795349e-05"""
2,"2,""ENSMUSG00000039633,299.43582888967,1.6109712078630802,0.32077903506568395,5.02205889961982,5.1120500374432e-07,0.00011972594477523799"""
3,"3,""ENSMUSG00000088005,190.693658249501,1.85646896788028,0.396001144712306,4.68803939753508,2.7583492417239397e-06,0.0005015114450281769"""
4,"4,""ENSMUSG00000105636,220.39908772898602,1.7226763022150702,0.400710096870014,4.2990588848922595,1.71524900023749e-05,0.00216216617198651"""
5,"5,""ENSMUSG00000116570,102.61382697910999,2.00547262193906,0.533915303788086,3.7561624619305496,0.000172538710992694,0.0122893809716342"""
6,"6,""ENSMUSG00000048442,92.3734319281114,1.8817968870011899,0.580956115812033,3.23913775203296,0.0011989165417990901,0.0508178796766251"""
7,"7,""ENSMUSG00000107891,75.8942345363723,1.83488063364847,0.612743404730864,2.9945334694453503,0.00274864897950482,0.0897891999971573"""
8,"8,""ENSMUSG00000056124,31.6938296980005,2.9152018388697005,0.988585364510846,2.94886202398125,0.00318946336430015,0.0983858568899753"""
