name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000086718,3203.3314161209496,3.56979369860161,0.1400883433413,25.482446386738,3.085815838570519e-143,4.0269896693345294e-139"
1,"ENSMUSG00000003934,4975.18262045206,2.88959917880392,0.128223794941487,22.535592400166898,1.85933934154594e-112,1.2132189203587198e-108"
2,"ENSMUSG00000118128,1721.31291576021,3.6209192647740496,0.16731724254025399,21.641040754678396,7.381820979992608e-104,3.2110921262967793e-100"
3,"ENSMUSG00000085408,10984.1564335048,2.36559834197539,0.113590228348529,20.8257204547298,2.5309127776206294e-96,8.257102936987298e-93"
4,"ENSMUSG00000044211,7463.68412506528,2.4313158434551,0.11721912773031698,20.741630572859897,1.4589531950962497e-95,3.8078678392011986e-92"
5,"ENSMUSG00000097101,5727.35881618277,2.72171199955307,0.1390169908423,19.578268692641803,2.369376349221439e-85,5.1533935595566287e-82"
6,"ENSMUSG00000116534,3204.33200347945,3.04770447705502,0.156846459828014,19.4311333542172,4.209639191249539e-84,7.847970206543778e-81"
7,"ENSMUSG00000021831,1863.1518253134698,3.06644926266546,0.16344234010416198,18.7616578464993,1.5547379404753596e-78,2.53616626540043e-75"
8,"ENSMUSG00000037685,49193.7986139036,1.9982980572376698,0.11128546426978699,17.9565055539799,4.268486475324539e-72,6.189305389220579e-69"
9,"ENSMUSG00000085467,6638.2756468824,2.21378043986689,0.12338852845587499,17.9415417913713,5.588287125230469e-72,7.292714698425758e-69"
10,"ENSMUSG00000021257,5570.341255837211,2.6216837315686297,0.14686089982601802,17.851475339416197,2.81500615839951e-71,3.339620942464879e-68"
11,"ENSMUSG00000086918,7666.87192186246,2.07934840130686,0.11682298714930302,17.7991374133363,7.176573065545999e-71,7.804523208781268e-68"
12,"ENSMUSG00000112136,3383.5266658781297,2.39989109272581,0.13534115400323,17.7321607045595,2.3675794090710096e-70,2.3766854837212797e-67"
13,"ENSMUSG00000025154,740.053063896288,4.4554326692432005,0.251564660207521,17.710884611407,3.4559794555834196e-70,3.221466563954539e-67"
14,"ENSMUSG00000112639,4529.53895067064,2.2177253335791605,0.12541435020906302,17.683186412737104,5.651026472691928e-70,4.916393031241978e-67"
15,"ENSMUSG00000111375,14336.6786709474,2.3443906685205897,0.13352031135674902,17.5583073818385,5.13847349444927e-69,4.191067443910179e-66"
16,"ENSMUSG00000084145,5368.17903129053,2.341609694778,0.13429931507625098,17.435753067307196,4.41702677407011e-68,3.3907176118596988e-65"
17,"ENSMUSG00000096967,3531.5701331134205,2.2331576353151603,0.132988130811981,16.7921574781166,2.7853280883352395e-63,2.0193628640430495e-60"
18,"ENSMUSG00000109829,5449.24998520835,2.251951677793,0.134916128616256,16.6914934551544,1.5114216052210197e-62,1.0381079972702299e-59"
19,"ENSMUSG00000110368,9620.06552203215,2.04739380902067,0.123633417638789,16.560197462165,1.3514978194647097e-61,8.818523272007208e-59"
20,"ENSMUSG00000028255,1546.15133221927,2.85692455797511,0.17311247834295904,16.5032849469994,3.4746519824238094e-61,2.15924801764908e-58"
21,"ENSMUSG00000100801,5065.59921784817,2.06827388084144,0.125745436629171,16.4481028996772,8.653656215191579e-61,5.133191527647729e-58"
22,"ENSMUSG00000109178,2643.1843483861603,2.33122950841354,0.141816720831945,16.4383261348715,1.0168895648444299e-60,5.769742965747729e-58"
23,"ENSMUSG00000094683,1473.66673314883,2.8200550725660096,0.171827732925662,16.41210661719,1.5667359617405096e-60,8.519126791964019e-58"
24,"ENSMUSG00000097156,6295.253643840269,1.9464822649304199,0.120659961544968,16.1319649037431,1.5210321372018297e-58,7.939787756193569e-56"
25,"ENSMUSG00000026679,11727.279548541599,1.84238609743233,0.114225336378181,16.1293996222737,1.5855426489311797e-58,7.958204449443029e-56"
26,"ENSMUSG00000087034,8315.21996550735,1.84479141218703,0.11625785088406698,15.8681017940602,1.0538002175127398e-56,5.0933677179782393e-54"
27,"ENSMUSG00000111981,5796.19903736255,2.05464774912816,0.1297418659668,15.836428232455999,1.7445262522520698e-56,8.130738425674829e-54"
28,"ENSMUSG00000016481,1566.8055345425,2.6690258969296203,0.16911169909716503,15.782621256712199,4.0980960836289395e-56,1.8441432376330197e-53"
29,"ENSMUSG00000019942,5269.18655176871,1.9815764669146698,0.12573139862587,15.7603946871784,5.82679549217347e-56,2.53465603909546e-53"
30,"ENSMUSG00000030617,1006.7008546953,3.43038406854423,0.217999689627867,15.7357291397983,8.605965572948539e-56,3.6228338944186595e-53"
31,"ENSMUSG00000039168,2229.29745985755,2.40149602115916,0.15312311616398097,15.68343226889,1.9635125569347395e-55,8.007449646249469e-53"
32,"ENSMUSG00000095398,2740.66194756802,2.2073956579632203,0.141791501279894,15.567898202910301,1.2029550504854297e-54,4.757140426919659e-52"
33,"ENSMUSG00000089646,730.1094119358811,3.56657489364204,0.2293223313648,15.5526715275209,1.5260506405755697e-54,5.857341429267979e-52"
34,"ENSMUSG00000031492,3795.559798464529,2.04438452653653,0.131794169565793,15.5119496808693,2.87999322838426e-54,1.0738260465832698e-51"
35,"ENSMUSG00000102571,2680.47481471095,2.30840953444891,0.14980849810037802,15.4090693366553,1.4224564334334196e-53,5.1564045711961494e-51"
36,"ENSMUSG00000018796,1854.99690676015,2.5575311113521497,0.16918964887843602,15.1163568711568,1.2634158674508697e-51,4.45610191087402e-49"
37,"ENSMUSG00000091078,1516.86660725693,2.6437094042990097,0.174995610935724,15.107289778085,1.4498124801394998e-51,4.9789612804790595e-49"
38,"ENSMUSG00000105711,864.548397813043,3.29334387447375,0.218091840031822,15.100720292851,1.6017407070694598e-51,5.35967082750166e-49"
39,"ENSMUSG00000095991,4118.626000123871,1.93434503989395,0.128198811088219,15.088634781198099,1.92381780125146e-51,6.27645557658288e-49"
40,"ENSMUSG00000098376,1006.9963966177901,2.95390215047149,0.196131736625643,15.0608065848599,2.9318805824894596e-51,9.33196136621646e-49"
41,"ENSMUSG00000029068,12531.9854379399,1.8348839651114899,0.12324195676563401,14.8884682884485,3.9163920561298595e-50,1.21687896029749e-47"
42,"ENSMUSG00000084755,4761.41400300393,1.8279246525223702,0.12434216169525901,14.7007630203687,6.37374519010082e-49,1.93435755187943e-46"
43,"ENSMUSG00000057766,4368.13857342187,1.84739122864292,0.125796890192006,14.6855079312629,7.98337434901289e-49,2.36779625578678e-46"
44,"ENSMUSG00000042102,9815.58137405384,1.65511124590577,0.11280655191415301,14.672119817697501,9.725843243751038e-49,2.8204945406877997e-46"
45,"ENSMUSG00000056821,1998.8953040628303,2.30297096883161,0.157479816134367,14.6239119740059,1.97706191828814e-48,5.608838702969619e-46"
46,"ENSMUSG00000091784,2723.61940748707,2.19907433226792,0.15212614723234,14.4555973596656,2.31115926376918e-47,6.41715497706124e-45"
47,"ENSMUSG00000098328,743.410180900583,3.1998014809943998,0.22388467218685898,14.292186462518401,2.44801123319473e-46,6.6555305402481605e-44"
48,"ENSMUSG00000086166,13105.905163527701,1.5587782236972703,0.109354671552974,14.2543359287779,4.212907140585769e-46,1.12200894254376e-43"
49,"ENSMUSG00000035394,4395.383064076071,1.80393276795793,0.12693263207764802,14.211733723873401,7.74831929588538e-46,2.0223113362260798e-43"
50,"ENSMUSG00000090965,4401.26704519997,1.79603634826202,0.126470333957719,14.2012461899758,8.99976153211149e-46,2.30288015674618e-43"
51,"ENSMUSG00000104905,11226.672068375401,1.72754257894743,0.12209288343547699,14.1494125647413,1.88323828830895e-45,4.726203781236889e-43"
52,"ENSMUSG00000093176,1728.30407007566,2.2456791838270096,0.160043738620296,14.0316591151054,9.978939449334292e-45,2.4570784870530697e-42"
53,"ENSMUSG00000113792,4249.77715738824,1.9284760578700102,0.13775120677982,13.999703544902301,1.5652227671563702e-44,3.7826216872945694e-42"
54,"ENSMUSG00000103748,5862.06737552657,1.75824239512544,0.125732800190094,13.983959575124302,1.9531220507332697e-44,4.63422595673985e-42"
55,"ENSMUSG00000105523,2162.7157435313698,2.3025505179207597,0.165272437598601,13.9318482342046,4.05718881154408e-44,9.45469892690183e-42"
56,"ENSMUSG00000115161,7257.016534560891,1.63046854790788,0.11706940780067801,13.927366495984199,4.31992345979443e-44,9.89035107900303e-42"
57,"ENSMUSG00000113280,6507.31983425305,1.67268603983688,0.12030793086920401,13.9033730174895,6.04252932650576e-44,1.3595690984637898e-41"
58,"ENSMUSG00000091438,2669.3733914874,1.99927476492763,0.14409615354508498,13.874588014607198,9.03104952816466e-44,1.9975457007211697e-41"
59,"ENSMUSG00000034066,2933.52378878978,2.15555054380633,0.155457807611243,13.865823640050099,1.02047953989213e-43,2.2195429992653698e-41"
60,"ENSMUSG00000028307,10478.011774598599,1.6658718372068402,0.12037123755023699,13.8394509445131,1.47327600988652e-43,3.15184457852771e-41"
61,"ENSMUSG00000117845,1229.7360711972399,2.59295627751504,0.189361121484693,13.693181880128698,1.11516857335698e-42,2.3472499810174997e-40"
62,"ENSMUSG00000099193,743.3292461881371,3.36919413649655,0.24648634244024697,13.6688877085078,1.55757832063946e-42,3.2264122356103092e-40"
63,"ENSMUSG00000114106,5342.7679332906,1.6762383885255803,0.12283220288861599,13.646571087270901,2.11603394343092e-42,4.314725462777109e-40"
64,"ENSMUSG00000117335,2780.67358403115,1.90136253113096,0.139641438833966,13.616033657399399,3.2156362887828e-42,6.45600824132546e-40"
65,"ENSMUSG00000064793,7139.09267340231,1.81654445255013,0.133618587704847,13.594998149230001,4.28771528169879e-42,8.477982488813509e-40"
66,"ENSMUSG00000097766,8635.85274136811,1.5786049255497399,0.11659189875632901,13.5395764404603,9.13139065170912e-42,1.7785768358926e-39"
67,"ENSMUSG00000089908,5854.05709053289,1.6305731809611899,0.121620755077313,13.4070305674772,5.49971298615546e-41,1.04016310825114e-38"
68,"ENSMUSG00000108015,3928.8877932203795,1.79887797060296,0.13416880039746198,13.407572887839502,5.45965085753495e-41,1.04016310825114e-38"
69,"ENSMUSG00000114210,5323.10332770508,1.6200286224104599,0.12117561938418099,13.3692621555681,9.144342067956992e-41,1.70476662838341e-38"
70,"ENSMUSG00000063830,8590.16614420489,1.58270869709901,0.11867496983475301,13.336499678936699,1.4197069823313798e-40,2.60946142527106e-38"
71,"ENSMUSG00000105594,7034.49180103656,1.63141914316381,0.12251802922676401,13.315747514549699,1.8748648901333e-40,3.3981926133666e-38"
72,"ENSMUSG00000071553,2272.50012431097,1.9947588292953402,0.150089871855189,13.2904292917242,2.63064592351235e-40,4.66114427828223e-38"
73,"ENSMUSG00000034321,3749.2586781488103,1.75401195426653,0.131979077622591,13.290075865527198,2.64310097006042e-40,4.66114427828223e-38"
74,"ENSMUSG00000068876,5986.468991647221,1.57711468654803,0.11976545681990301,13.1683602970731,1.33464836151434e-39,2.32228814903495e-37"
75,"ENSMUSG00000085908,5366.58739803031,1.6018399273681498,0.121780451262848,13.153506254552902,1.62462479799191e-39,2.7534225472460196e-37"
76,"ENSMUSG00000105071,2440.3362790687697,1.8943283689662502,0.14403652253853302,13.1517224630266,1.6634146633706998e-39,2.7830206867932897e-37"
77,"ENSMUSG00000082740,3825.31987246641,1.71923547892463,0.130819126865041,13.142080367944,1.88959278881637e-39,3.12141593595616e-37"
78,"ENSMUSG00000105068,3221.84314167851,1.81987600021209,0.138546619445996,13.135477483963198,2.0618673892819603e-39,3.3634211787661996e-37"
79,"ENSMUSG00000044066,1494.6842403908402,2.3094833605920697,0.175883970337939,13.1307211007045,2.1955579603298694e-39,3.5372878249759e-37"
80,"ENSMUSG00000022894,3109.35469310547,1.81052320479367,0.138790853525762,13.0449749302652,6.78793187158715e-39,1.0802745234659998e-36"
81,"ENSMUSG00000049804,1939.8511787375799,2.36919523721691,0.18251210153254396,12.9810309416357,1.5675627096081197e-38,2.46466185064891e-36"
82,"ENSMUSG00000091423,622.146452930855,3.09588514451301,0.239378108927899,12.933033677885302,2.93024363273441e-38,4.5523427865695195e-36"
83,"ENSMUSG00000046753,3814.8830865493,1.6631207557843102,0.129020969069828,12.8903136271144,5.10358387051088e-38,7.83550229531376e-36"
84,"ENSMUSG00000117958,2096.55166169117,2.0819860502922403,0.163069076671054,12.7675098969994,2.48993270577576e-37,3.73489905866365e-35"
85,"ENSMUSG00000035875,6111.09212613725,1.5756392624401998,0.123827950754528,12.7244233053949,4.326573827912979e-37,6.416112324348229e-35"
86,"ENSMUSG00000029769,2258.85970390263,1.90678251490136,0.15020476662129997,12.694553959854,6.3390061526743005e-37,9.294834864314559e-35"
87,"ENSMUSG00000082066,6745.56202074849,1.58384378337966,0.12538835676217402,12.6315060208003,1.4154301932102098e-36,2.05237378015481e-34"
88,"ENSMUSG00000102478,5135.14583807982,1.6966597153463001,0.13466284186272098,12.5993161281709,2.12983128412608e-36,3.05431848987311e-34"
89,"ENSMUSG00000097627,836.421492191895,2.6031770038379602,0.20768197005538397,12.5344390904215,4.83772085750088e-36,6.8622018685202804e-34"
90,"ENSMUSG00000115979,1333.71634707141,2.20309375380655,0.17599724362525304,12.5177741902455,5.9685499051315495e-36,8.37522325397491e-34"
91,"ENSMUSG00000030207,8755.53747651249,1.6124224215908,0.129306376162885,12.469782770492802,1.0912311938903801e-35,1.4990070610809998e-33"
92,"ENSMUSG00000066767,3517.7889019178997,2.1465201150877897,0.172507220703069,12.443074013594599,1.52519107963705e-35,2.0733066238816196e-33"
93,"ENSMUSG00000108503,1292.68745169241,2.26571401833498,0.18375164705309302,12.330305902947,6.22101064086367e-35,8.2841009044154e-33"
94,"ENSMUSG00000090839,5869.4845050999,1.57921169734779,0.128496397126275,12.289929777532,1.02595115243269e-34,1.35239015547945e-32"
95,"ENSMUSG00000102759,1572.28907396056,2.15738026006088,0.17620530628565803,12.2435601148322,1.8187626846087798e-34,2.3734853034144596e-32"
96,"ENSMUSG00000053768,3962.8906685498796,1.6349853644518502,0.134830099587819,12.126263864300801,7.666819228164339e-34,9.438867068636278e-32"
97,"ENSMUSG00000042423,4380.31568421641,1.6288087506044298,0.134400993934329,12.1190231033581,8.375145216696839e-34,1.0214546268962e-31"
98,"ENSMUSG00000053754,4223.532897314471,1.54189400439686,0.127250220603296,12.1170242148635,8.58188660115637e-34,1.03697796430639e-31"
99,"ENSMUSG00000117096,2001.19417916655,1.9372172483586698,0.16014993005272102,12.0962728345929,1.1051596092544698e-33,1.3231498074101698e-31"
100,"ENSMUSG00000088357,915.547888761373,2.41268702758461,0.20228746307200196,11.9270220257093,8.55805293858014e-33,9.883415119333709e-31"
101,"ENSMUSG00000015023,2086.12288496207,1.8346759793475602,0.15392072331376,11.919616409336,9.35382069223409e-33,1.0686851332706e-30"
102,"ENSMUSG00000024691,3549.7696365522206,1.56030935014642,0.130908859487051,11.9190508286473,9.417531825756259e-33,1.0686851332706e-30"
103,"ENSMUSG00000112742,322.18350107002004,4.43085538497128,0.37192611371305706,11.913267774442199,1.0094225628533599e-32,1.1356003832100299e-30"
104,"ENSMUSG00000044037,3019.69233573584,1.99278013878793,0.167685245777979,11.8840517514966,1.4325152975332998e-32,1.59780552417176e-30"
105,"ENSMUSG00000044860,1942.78878629136,1.99650055303866,0.168051925238976,11.8802599268028,1.49900514484973e-32,1.6577980627363502e-30"
106,"ENSMUSG00000088777,4040.9234016342893,1.78015184359821,0.150568814688796,11.822845569167301,2.9743596161822495e-32,3.26179773035113e-30"
107,"ENSMUSG00000079410,1747.8571402846499,2.02721698513471,0.17149764899859696,11.8206692451585,3.05243088623541e-32,3.3195185887810096e-30"
108,"ENSMUSG00000070808,1502.2093641891101,2.16882520113898,0.18406227585314497,11.7831054249779,4.77026081980546e-32,5.06113038198872e-30"
109,"ENSMUSG00000078307,3362.0379467635903,1.7212925594321,0.146417784592141,11.7560347209658,6.57503249675809e-32,6.919691458281699e-30"
110,"ENSMUSG00000097077,3575.6115373679204,1.63902405418315,0.139611815731203,11.7398663257756,7.96121832054147e-32,8.3115119266453e-30"
111,"ENSMUSG00000075707,1295.46611909093,2.1077075652815904,0.18011899479747304,11.7017506546242,1.24850856870113e-31,1.29309816044045e-29"
112,"ENSMUSG00000003355,3957.0504969782896,1.53624064126602,0.13159867081846,11.6736790099138,1.73743682493339e-31,1.7713711379203698e-29"
113,"ENSMUSG00000020309,4811.12407582499,1.6481670325164,0.142359476743238,11.577501338313198,5.3585208631183e-31,5.37913055874568e-29"
114,"ENSMUSG00000036390,481.614102739004,3.15587990170659,0.272688654628346,11.5731984009669,5.6342405481654895e-31,5.612735813248829e-29"
115,"ENSMUSG00000020910,601.565872888451,2.7492555223982102,0.238995100630045,11.5033969949616,1.26823806576804e-30,1.23511244464723e-28"
116,"ENSMUSG00000022861,1845.7327528095898,1.87987031857375,0.164847085628429,11.403721888120199,4.0061795511855996e-30,3.8441649369832402e-28"
117,"ENSMUSG00000054181,1782.16120495531,1.8428377254259198,0.16285035106722,11.3161421719333,1.0917119374157699e-29,1.03237976690404e-27"
118,"ENSMUSG00000088637,1229.67428961988,2.0202978727411,0.178663759073839,11.307821369112402,1.20032976265836e-29,1.1188788144779698e-27"
119,"ENSMUSG00000094925,1239.92559337726,2.0286627537986,0.17946146180389397,11.304169337567401,1.25132666836553e-29,1.1581427675298e-27"
120,"ENSMUSG00000033615,3032.68576671788,1.54083549544963,0.136559644309511,11.2832418628548,1.58784556129479e-29,1.4490478723704197e-27"
121,"ENSMUSG00000098145,669.480087055777,2.55643921897427,0.22672339996291396,11.2755861079731,1.7322116404125498e-29,1.5589904763712899e-27"
122,"ENSMUSG00000041842,556.267745608816,2.82798036150409,0.25164699819966396,11.2378863317904,2.65667046426019e-29,2.37462668209558e-27"
123,"ENSMUSG00000052273,2055.0057709027,1.7309737894975201,0.15406165635411498,11.2355911942089,2.7266251449670195e-29,2.42057538379725e-27"
124,"ENSMUSG00000112496,2578.0773173136104,1.6930722088182801,0.151490289382091,11.176110467041099,5.337852653874071e-29,4.67509913644675e-27"
125,"ENSMUSG00000081263,2589.27590408408,1.7023960727203602,0.1524300905307,11.1683727720249,5.82379872354622e-29,5.06670488948521e-27"
126,"ENSMUSG00000080186,2440.5485038916395,1.8063301478354699,0.16235507220854298,11.125800526362697,9.39586094923146e-29,8.06684114391254e-27"
127,"ENSMUSG00000040312,885.203829400599,2.23330087358449,0.20194727571511897,11.0588313988199,1.98669007523585e-28,1.67266486979534e-26"
128,"ENSMUSG00000087340,3801.28750904576,1.53186033932818,0.13915566255629097,11.008250122114301,3.48710711325593e-28,2.8985189699356595e-26"
129,"ENSMUSG00000061244,246.02845935025798,4.9544790552587,0.450160878538781,11.0060187178879,3.57452878345368e-28,2.95237978633358e-26"
130,"ENSMUSG00000101838,3051.9858908749798,1.5582846851577,0.14221155200423702,10.957511279472401,6.11581082071738e-28,4.9882082006476193e-26"
131,"ENSMUSG00000028223,3146.54633906252,1.51349011326428,0.138858301718047,10.899529192985801,1.1585519591893802e-27,9.27552335424629e-26"
132,"ENSMUSG00000043051,2033.92180952029,1.68271422460348,0.154541833667618,10.8884059718263,1.3091151426200301e-27,1.0417044275116699e-25"
133,"ENSMUSG00000094092,339.801718730292,3.43384650629973,0.31617043753208196,10.860745024434099,1.7729677483614098e-27,1.4022563100676599e-25"
134,"ENSMUSG00000078886,2252.0871261893103,1.69187214145066,0.156087018062725,10.8392879974859,2.24209183095992e-27,1.76260833698957e-25"
135,"ENSMUSG00000118367,4901.87323108274,1.53429322085029,0.142500065057031,10.766965055322899,4.92984591609785e-27,3.7403772793649394e-25"
136,"ENSMUSG00000083621,2645.9574768830703,1.68570483698179,0.15662509412626502,10.7626740554284,5.16493018582757e-27,3.89608895520519e-25"
137,"ENSMUSG00000026365,1688.86246311116,1.78749197543004,0.166098956413513,10.7616087061979,5.22499779211298e-27,3.918748344084729e-25"
138,"ENSMUSG00000032845,2082.70207247572,1.60877341540088,0.150159152003387,10.713788629843801,8.76977655116069e-27,6.429527190598149e-25"
139,"ENSMUSG00000077593,2307.15678042435,1.60582815015369,0.150354329139674,10.6802920763388,1.2587499473258201e-26,9.02565209483625e-25"
140,"ENSMUSG00000065979,2633.2848817071,1.5052144283650202,0.140972269611578,10.677379547852599,1.29886354884251e-26,9.26238760240152e-25"
141,"ENSMUSG00000106354,3514.0870719538,1.5146860548235,0.142010495005189,10.6660148939566,1.4678765584256098e-26,1.0410754938833799e-24"
142,"ENSMUSG00000107567,2013.4479298355398,1.63441159423697,0.15381643395833802,10.6257280329335,2.26239920526898e-26,1.58732847466453e-24"
143,"ENSMUSG00000118477,2767.37199519464,1.7088203713243797,0.16259122565019,10.5099175216309,7.77615254355917e-26,5.36924818483847e-24"
144,"ENSMUSG00000111412,2778.75735416112,1.5479615011975902,0.14738192749740697,10.5030618576,8.362286084059259e-26,5.74357017878807e-24"
145,"ENSMUSG00000090332,280.111183651151,3.83912549716488,0.36656252160297,10.473317022090699,1.14557064169162e-25,7.82706642621758e-24"
146,"ENSMUSG00000098908,2115.4598767738003,1.71113551329439,0.163541304103581,10.463017417365199,1.27722222532563e-25,8.68111981276014e-24"
147,"ENSMUSG00000117371,342.039465963219,3.3198221624479802,0.31731425258586404,10.462253540123099,1.2875632591612198e-25,8.70606245184138e-24"
148,"ENSMUSG00000114162,568.942498679889,2.5257370592271498,0.24209101231073302,10.4330063108054,1.7525397787514e-25,1.1728535442413199e-23"
149,"ENSMUSG00000085788,991.612016800714,1.97632507287521,0.191739095014276,10.3073662297616,6.526541803178778e-25,4.32341982393315e-23"
150,"ENSMUSG00000025630,1218.58519461627,2.282559533675,0.223476920920684,10.2138490376155,1.71907119635115e-24,1.11058807487042e-22"
151,"ENSMUSG00000074113,1446.06826055966,1.75268128664383,0.171792466792534,10.2023174785683,1.93596943075034e-24,1.24444140097108e-22"
152,"ENSMUSG00000096834,1669.22005662977,1.72057279015672,0.168653035648688,10.2018489233763,1.94533368427664e-24,1.24444140097108e-22"
