name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000112597,554.343849222006,5.19342168655249,0.302416029214493,17.173103224859098,4.222302846926079e-66,5.856334048686468e-62"
1,"ENSMUSG00000030866,1142.25121388105,1.7716812523567,0.193502463095911,9.15585891781932,5.39270837219762e-20,1.4959373024476202e-16"
2,"ENSMUSG00000087067,475.81976678072095,1.6823677798968,0.272335272021625,6.17756109007874,6.50993893576778e-10,2.6556721482088e-07"
3,"ENSMUSG00000032218,429.212408877115,1.5399049993323402,0.25941447768022896,5.93607964020624,2.9191804071364196e-09,9.87537371877613e-07"
4,"ENSMUSG00000098057,82.7480902067919,2.6328697903512497,0.583135014402437,4.5150260665607,6.33089782348348e-06,0.000905253121770266"
5,"ENSMUSG00000030103,99.250696922976,2.50619901450005,0.568576081176671,4.4078516446092095,1.0440101363238e-05,0.0013811121949287599"
6,"ENSMUSG00000102136,148.330060230726,2.2518724736925297,0.512592038616104,4.39310856206846,1.1174129189245e-05,0.0014621242627814"
7,"ENSMUSG00000093363,223.417201696921,1.5264427731432302,0.38963531880029,3.91761911585233,8.94278591359747e-05,0.00916853048626895"
8,"ENSMUSG00000073530,16324.313596927299,1.62951473082776,0.42267764399293795,3.8552186376220603,0.00011562624563252,0.0110602484615383"
9,"ENSMUSG00000091083,18.6992491451479,4.800489592354929,1.51557917222069,3.16742911247656,0.00153793199445921,0.0824852451104007"
10,"ENSMUSG00000070526,127.457300862658,1.91200078741858,0.606481050802288,3.15261422412006,0.00161815499568178,0.0856633961454436"
