name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000052632,41271.1666869374,-1.78494671920355,0.073008240457816,-24.4485650936197,5.2123758953787293e-132,6.513384918865258e-128
ENSMUSG00000042388,6290.0389788700095,-2.0746079393614503,0.0875991127532337,-23.6829789041997,5.400457467363229e-124,3.374205825608539e-120
ENSMUSG00000107989,10273.3370353634,-1.7707090721387801,0.0786062346992027,-22.5263184137319,2.2923626525445093e-112,9.548454568732077e-109
ENSMUSG00000085956,3278.50421158005,-2.2955143356641696,0.10501412745827698,-21.8591002108377,6.368717862862539e-106,1.9895874603582594e-102
ENSMUSG00000087381,13563.226609013502,-1.70959448624607,0.0798353362371439,-21.414007466166,9.892886978826719e-102,2.4724303137483695e-98
ENSMUSG00000022842,7131.640481284459,-1.94288266806659,0.0911590370149067,-21.3131109288581,8.580073122950728e-101,1.7869432290731996e-97
ENSMUSG00000021592,5312.342052399989,-2.23165839977006,0.10476738450324401,-21.3010796284694,1.1093470597537697e-100,1.9803429798118696e-97
ENSMUSG00000032842,4219.623900375879,-2.0177461135113703,0.0986299635747149,-20.4577396196934,5.126025364029359e-93,8.006851618613857e-90
ENSMUSG00000099757,5599.11359370022,-2.02182774571322,0.10017502084645,-20.1829530818098,1.3823585427672295e-90,1.9193280389354797e-87
ENSMUSG00000109024,12667.3054971197,-1.63845406999928,0.0828713531318859,-19.771054870936602,5.28591277251977e-87,6.6052766005406985e-84
ENSMUSG00000089997,4111.84766501044,-1.90535381955381,0.0972582326663715,-19.590668751814803,1.8573454802511098e-85,2.1099444655652593e-82
ENSMUSG00000037443,8708.31169405113,-1.61500210304216,0.0825607368350224,-19.561381898387697,3.3001134319150095e-85,3.436518120434169e-82
ENSMUSG00000084347,9406.063399654,-1.72889290748303,0.0885300001019302,-19.5288930926516,6.237682198608469e-85,5.995852057985499e-82
ENSMUSG00000031849,9394.350551734151,-1.6792149328117498,0.0863896852185374,-19.4376785673415,3.705579243840609e-84,3.3074941593594393e-81
ENSMUSG00000073386,10096.754533252,-1.8044251205115602,0.0928849637434936,-19.4264501786809,4.611739722950369e-84,3.84188663853252e-81
ENSMUSG00000047642,4806.65703192361,-1.83800159499702,0.0953416219721389,-19.2780609032866,8.209686000361359e-83,6.411764766282219e-80
ENSMUSG00000025766,7448.48833541516,-1.60003409898533,0.0830499731499644,-19.265919521685102,1.0380509049167399e-82,7.630284769317388e-80
ENSMUSG00000031872,3137.7160378954304,-2.06067229985262,0.10712888919849198,-19.2354491423368,1.8691707268203798e-82,1.2976198556859696e-79
ENSMUSG00000072949,4770.107059559121,-1.84178085424353,0.09828582541248401,-18.7390282018184,2.3793342630467993e-78,1.5648505763701499e-75
ENSMUSG00000100837,8235.17128432062,-1.63636772998545,0.0885369843105703,-18.482307057640398,2.866576364471749e-76,1.7910369125219497e-73
ENSMUSG00000040525,12654.3099515165,-1.57155486947254,0.08525604632867999,-18.4333538458242,7.094538892118517e-76,4.22158847599586e-73
ENSMUSG00000027679,8523.63356183818,-1.60446533937182,0.0875186249976859,-18.332844459270802,4.526051184883169e-75,2.5707970730136395e-72
ENSMUSG00000067719,35420.5667066665,-1.1673830445029199,0.0639613739123282,-18.251375370751898,2.0176507570188696e-74,1.0961984286829498e-71
ENSMUSG00000023391,5388.26620369745,-1.6497034230684502,0.0905872111311044,-18.211217703577102,4.204897010736899e-74,2.1893497102570095e-71
ENSMUSG00000080981,6122.71222615427,-1.6313295306291398,0.0903148154422081,-18.0627012593855,6.26789795580926e-73,3.1329461142317e-70
ENSMUSG00000020537,11093.514767691899,-1.6404209476178997,0.0914369620063493,-17.9404576838849,5.698385283852059e-72,2.73873163488521e-69
ENSMUSG00000049489,4404.56770395046,-1.71992438528593,0.0958802141138131,-17.938261832043,5.928058061123118e-72,2.7435930937701597e-69
ENSMUSG00000029265,4768.40773969338,-1.7492880347186002,0.0985712953026635,-17.7464243454183,1.83683163465777e-70,8.197517180958408e-68
ENSMUSG00000095740,5281.7435527506295,-1.8762429761928001,0.10749603724866802,-17.454066440165903,3.2057583034546093e-68,1.3813501986196098e-65
ENSMUSG00000101625,7504.49512857249,-1.4464543880461698,0.083190538146297,-17.3872464378397,1.03068402414439e-67,4.293142521902779e-65
ENSMUSG00000026172,3204.92426990073,-1.82526512187006,0.10523530598435599,-17.3446079221872,2.1665137737905196e-67,8.73314713460849e-65
ENSMUSG00000062929,5113.11500305198,-1.6675279951512,0.0963411854330502,-17.308568372453898,4.053692273349239e-67,1.5829668327428798e-64
ENSMUSG00000070476,5647.85625690674,-1.62104983927492,0.0940481553740797,-17.2363810095705,1.4163019582394196e-66,5.36306341519994e-64
