name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000032118,773.9165779816631,1.8807486296250502,0.18889282392777598,9.95669708630204,2.35765466179896e-23,1.55059224493893e-21"
1,"ENSMUSG00000025154,945.1581276921099,1.55917807866285,0.171436144180534,9.09480370149327,9.47574863647033e-20,5.01732860005649e-18"
2,"ENSMUSG00000075470,482.70309454540296,1.5433287142015701,0.231283635717345,6.67288331668953,2.50825819072388e-11,6.027537375247219e-10"
3,"ENSMUSG00000023935,254.969653143438,1.5547410008970999,0.317533895381631,4.8962993353151205,9.76582723698946e-07,1.09643227173835e-05"
4,"ENSMUSG00000115326,125.939096918387,2.19766475112116,0.451136166746182,4.8714000630270995,1.10810208442009e-06,1.22755706089658e-05"
5,"ENSMUSG00000016554,217.96010507051102,1.66189546732005,0.354905416299984,4.682643293094559,2.8319908472069302e-06,2.89827167671841e-05"
6,"ENSMUSG00000103146,241.332822015226,1.50191364805676,0.33492731632908,4.4842972634130405,7.315462102753619e-06,6.857765524081711e-05"
7,"ENSMUSG00000114449,161.891685327275,1.8831600315516401,0.42210474545063004,4.461357167499321,8.144222055701531e-06,7.53853324504047e-05"
8,"ENSMUSG00000001829,179.239516602933,1.5295829555396203,0.37839089936727205,4.042335473969691,5.2921444017876e-05,0.00039765866773745"
9,"ENSMUSG00000078588,149.38788258320199,1.6186103153583602,0.41436946904070204,3.9062007128700205,9.37586422668797e-05,0.000661551662206058"
10,"ENSMUSG00000082348,98.50954796241992,1.98031272146182,0.510942201422896,3.8758057485699,0.00010627244204089399,0.000738587561592331"
11,"ENSMUSG00000001833,44.7040695942456,2.55259689208712,0.757091319731009,3.3715838836906005,0.0007473727512385361,0.00412507504393849"
12,"ENSMUSG00000086539,92.9176282113356,1.58735796647646,0.5253212851487801,3.02168979508778,0.00251368001586875,0.011646624204040001"
13,"ENSMUSG00000050944,100.876422897177,1.50305153758281,0.535673837955241,2.8059080565147902,0.00501750069108504,0.0209624502292874"
14,"ENSMUSG00000063511,72.2850583526467,1.6217267424899,0.609502440545666,2.6607387183520097,0.007796943513313229,0.030342761177939"
15,"ENSMUSG00000022386,62.0777217984542,1.66073998044965,0.6351338320586689,2.6147874615129,0.008928299430531429,0.0338392568043436"
16,"ENSMUSG00000030493,53.601159008172104,1.80974890402148,0.697396355011105,2.59500768969843,0.00945888027309031,0.0354311054833743"
17,"ENSMUSG00000063506,51.869136244155996,1.86061431615167,0.7263497703186451,2.5615955180042698,0.0104192585785168,0.0383276582858836"
18,"ENSMUSG00000087204,62.5905711880832,1.7501956087001003,0.702689925161375,2.4907082712167203,0.0127488750942257,0.045104740423965"
19,"ENSMUSG00000110316,51.6853298565147,1.69025437991623,0.687071514863826,2.46008507608008,0.013890408409575,0.0481724531434567"
20,"ENSMUSG00000113598,51.1863498092931,1.5691467856545902,0.6988770446574061,2.2452401286463703,0.0247527212578836,0.0760349077774123"
21,"ENSMUSG00000110866,57.318277301245395,1.8237861811144298,0.860476558180893,2.11950710774741,0.0340476337132099,0.0973590917346157"
