name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000086718,2924.72283175635,4.773514430422231,0.14149908247055598,33.735303064000604,1.7561761036654494e-249,2.6161755416304284e-245"""
1,"1,""ENSMUSG00000041219,9942.3407718812,3.6571675237741,0.110104162473002,33.2155246598496,6.425922560880997e-242,4.7863484194722076e-238"""
2,"2,""ENSMUSG00000097101,5300.3040014701,4.06571147824014,0.122902704779551,33.080732320193896,5.625685566349346e-240,2.7935279293968686e-236"""
3,"3,""ENSMUSG00000118367,7373.125934267759,3.2716535707629704,0.102229910448544,32.0028997033085,9.936942054664786e-225,3.7007656447085275e-221"""
4,"4,""ENSMUSG00000111375,15231.603864378701,2.94263961294466,0.0939962977618666,31.305909732739,3.8774855864840185e-215,1.1552580556370493e-211"""
5,"5,""ENSMUSG00000021257,4759.79294683434,3.4925402102126197,0.11558850642012701,30.215289723688997,1.4917057651262995e-200,3.7036567971810885e-197"""
6,"6,""ENSMUSG00000080186,5253.34396274692,3.23809691816234,0.10982376710327,29.484482308073503,4.552159813475298e-191,9.687646391620226e-188"""
7,"7,""ENSMUSG00000003934,3777.4979253275606,4.00573319438786,0.13895043805753798,28.828503532526604,9.425402589902945e-183,1.7551277797722993e-179"""
8,"8,""ENSMUSG00000042388,5713.57545411676,2.98857013724542,0.10660983694468198,28.0327803033423,6.477929329032928e-173,1.0722412579400396e-169"""
9,"9,""ENSMUSG00000097156,9457.67967576423,2.96554238351327,0.10632424274416301,27.8914978087261,3.3832314042907185e-171,5.039999822971878e-168"""
10,"10,""ENSMUSG00000052632,37856.3420186467,2.41972308866669,0.0870224227031768,27.805742629346,3.6968498462917584e-170,5.006542923655298e-167"""
11,"11,""ENSMUSG00000037685,51346.470124461295,2.31570174144726,0.0858085946538539,26.986827494246302,2.1099772134816892e-160,2.619360879103059e-157"""
12,"12,""ENSMUSG00000107989,9196.562396176021,2.64077828416789,0.0979146535220474,26.970205063058,3.306003747263639e-160,3.788425986383569e-157"""
13,"13,""ENSMUSG00000099757,4883.23603326353,3.47502167207878,0.128954263384473,26.9477067362878,6.068453477087838e-160,6.457267960584118e-157"""
14,"14,""ENSMUSG00000067719,28493.4973480888,2.5902197091818,0.096139065044523,26.9424266606113,6.997627782760497e-160,6.949577405318877e-157"""
15,"15,""ENSMUSG00000117096,3155.19486245578,3.4282699352808397,0.127798924954867,26.8254990133255,1.6294082970077696e-158,1.5170809625327995e-155"""
16,"16,""ENSMUSG00000109024,11234.9830766822,2.51435290952654,0.0941867988976608,26.695385541858396,5.324796909416768e-157,4.6660882093871586e-154"""
17,"17,""ENSMUSG00000044211,8036.633197983249,3.1035955901514303,0.116738598740684,26.5858561232654,9.892936909418658e-156,8.187504507756098e-153"""
18,"18,""ENSMUSG00000078307,4722.91412045505,3.0871677907018,0.11651881753643599,26.4950147621985,1.1063134354357597e-154,8.674079604045537e-152"""
19,"19,""ENSMUSG00000031872,2749.85228075362,3.4802967369328703,0.13147620634995802,26.470924538765303,2.0957699180291394e-154,1.5610342234440095e-151"""
20,"20,""ENSMUSG00000102571,3562.18071198975,3.1893699167251004,0.12093178288154598,26.3732977446395,2.7746546369948093e-153,1.9682871489195994e-150"""
21,"21,""ENSMUSG00000037681,9728.61551215828,2.59229440275212,0.0985686732040912,26.2993740149535,1.9495922377127693e-152,1.3201397984185095e-149"""
