name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
41,"41,""ENSMUSG00000075470,748.9389619841901,2.3591911759843196,0.25441230120733305,9.2731018303305,1.80809671401598e-20,4.598473617728959e-19"""
42,"42,""ENSMUSG00000113726,1322.76434510681,1.53546483206839,0.16864823232911905,9.104541511421939,8.66315661703661e-20,2.1050133213883498e-18"""
43,"43,""ENSMUSG00000065080,651.438078240309,2.17293745727896,0.23871867264686103,9.1025030978344,8.82734876219297e-20,2.14123668776071e-18"""
44,"44,""ENSMUSG00000081603,1206.51592987387,1.5866706144704499,0.17759111882646803,8.934402941741961,4.09382833223375e-19,9.46055010675747e-18"""
45,"45,""ENSMUSG00000106230,1234.49072712384,1.52941228841084,0.172069257708891,8.88835291541917,6.202141734894e-19,1.40800544577738e-17"""
46,"46,""ENSMUSG00000109784,943.292912741939,1.79369901711069,0.20564743178263198,8.72220480247287,2.7283626201508998e-18,5.95833493158677e-17"""
47,"47,""ENSMUSG00000097442,947.040203683497,1.6516407538298001,0.190836251860495,8.65475368399701,4.9397729650119294e-18,1.0586508898995299e-16"""
48,"48,""ENSMUSG00000086074,1127.74812210961,1.54807870232578,0.180203484167643,8.59072569809806,8.64217287662349e-18,1.81909392229195e-16"""
49,"49,""ENSMUSG00000085687,1147.7641379068598,1.50999771645778,0.179050771154243,8.43334941661319,3.3590982946930393e-17,6.73054970899881e-16"""
50,"50,""ENSMUSG00000101791,978.149682217697,1.56346369762232,0.19032516935586802,8.21469752483958,2.1269971201894501e-16,4.0067873942292295e-15"""
51,"51,""ENSMUSG00000111833,390.722705318731,2.27643855370393,0.27831099713948304,8.17947755245559,2.8507717136052997e-16,5.320689340570851e-15"""
52,"52,""ENSMUSG00000085116,702.489708661393,1.7367296160140602,0.213707182897096,8.12667872212011,4.4121277697920396e-16,8.10664098403036e-15"""
53,"53,""ENSMUSG00000087177,433.325997293144,2.12889159845802,0.26457781927844,8.046372157212451,8.528438701971129e-16,1.5331708458391198e-14"""
54,"54,""ENSMUSG00000084971,526.897791844412,1.9810328326606201,0.246612510454215,8.03297784452182,9.513485271532509e-16,1.70376779211795e-14"""
55,"55,""ENSMUSG00000025991,1228.88714770125,1.5640368937300602,0.19521769787218102,8.011757698085951,1.13080490988539e-15,1.9998729529883097e-14"""
56,"56,""ENSMUSG00000038766,1106.2960219182,1.50146976412671,0.18999101220077,7.90284628064438,2.7260569480564397e-15,4.68088760317182e-14"""
57,"57,""ENSMUSG00000083985,1002.67858729275,1.5145036411450201,0.192640071892901,7.86183075132475,3.785593113627071e-15,6.37172805397885e-14"""
58,"58,""ENSMUSG00000110424,599.8612665275509,1.81792906213475,0.231696026453991,7.8461814384881,4.28896304151971e-15,7.207289495393621e-14"""
59,"59,""ENSMUSG00000022048,374.337678476491,2.24443162107633,0.28832483813073306,7.7843852636055395,7.00529844769485e-15,1.15391927686099e-13"""
60,"60,""ENSMUSG00000023984,289.752289205213,2.4749040670480698,0.31939030375819605,7.74883907847674,9.273645036629369e-15,1.51697985668466e-13"""
61,"61,""ENSMUSG00000028710,641.868507760269,1.7307121396743799,0.223710365059216,7.736396743245519,1.02273973298694e-14,1.6672187638081697e-13"""
62,"62,""ENSMUSG00000022818,604.962439245759,1.72650957253231,0.227034213213007,7.60462288083632,2.8573586458169104e-14,4.5024852699268504e-13"""
63,"63,""ENSMUSG00000052974,619.44919966278,1.69756431105144,0.225629009361087,7.52369704524444,5.324865005718609e-14,8.17248512145285e-13"""
64,"64,""ENSMUSG00000112190,545.021992746801,1.96253476093409,0.264243772666496,7.426985851473661,1.111002389991e-13,1.66017509035996e-12"""
65,"65,""ENSMUSG00000021676,643.675677708519,1.65125046515607,0.22477474547901,7.34624551186633,2.03851790826874e-13,3.0018341672073798e-12"""
66,"66,""ENSMUSG00000098541,468.37099958175696,1.83725643843467,0.254360580222103,7.223039186458889,5.08383563784193e-13,7.223431860147309e-12"""
67,"67,""ENSMUSG00000013076,893.3942974882581,1.6358605434158302,0.229072253591865,7.14124263312318,9.24909212544438e-13,1.27951795946333e-11"""
68,"68,""ENSMUSG00000025607,493.593557339454,2.0580444655728103,0.291836345329074,7.0520498851922,1.76300969142277e-12,2.38309115350143e-11"""
69,"69,""ENSMUSG00000081894,792.820779222901,1.53578673149981,0.21815997025698497,7.039727451790099,1.926162199415e-12,2.5937275396305e-11"""
70,"70,""ENSMUSG00000006362,538.532788729852,1.8808490268744902,0.26816668495947,7.013731132033629,2.3204512336733597e-12,3.1069482208144505e-11"""
71,"71,""ENSMUSG00000081025,536.598315495127,1.6723997000301698,0.24135464072147803,6.9292212282759,4.23163614469378e-12,5.49957409410386e-11"""
72,"72,""ENSMUSG00000070282,482.072720515762,1.7202734397193402,0.249865037322501,6.88481052872947,5.78644988916024e-12,7.39809107670071e-11"""
73,"73,""ENSMUSG00000105293,767.9346769389759,1.5570054000754,0.22712516522213397,6.85527470526046,7.11756119222253e-12,9.01048899455088e-11"""
74,"74,""ENSMUSG00000099148,509.90103579813905,1.7082108116363899,0.25158696845366,6.789742815916259,1.12333616393979e-11,1.38858465081772e-10"""
75,"75,""ENSMUSG00000059474,286.302256108485,2.18922255291872,0.32614372374133804,6.712447284912269,1.9138695630677002e-11,2.32122228000146e-10"""
76,"76,""ENSMUSG00000034334,207.001306185019,2.56827208208866,0.384035975412837,6.68758201449169,2.26888063644292e-11,2.7284348977801703e-10"""
77,"77,""ENSMUSG00000073590,179.15381517484101,2.67721360693624,0.402609216255981,6.649658027783589,2.9377477861637497e-11,3.47670301911409e-10"""
78,"78,""ENSMUSG00000021901,397.675378556997,1.8493569858990901,0.27836145828999703,6.6437250230685105,3.0585294716441703e-11,3.61360537909185e-10"""
79,"79,""ENSMUSG00000097602,216.86418270175201,2.42534062206436,0.365258318386141,6.64006950691911,3.13535264545515e-11,3.69205366380031e-10"""
80,"80,""ENSMUSG00000115154,292.05898412394197,2.06819973416759,0.31509387064563105,6.56375742863492,5.2468530719448996e-11,6.04283907456679e-10"""
81,"81,""ENSMUSG00000098057,72.7956307505841,6.12833632679271,0.9416177425229729,6.50830591867611,7.60030203616973e-11,8.5857957451659e-10"""
82,"82,""ENSMUSG00000002803,422.958740757588,1.7180114622932101,0.26474822916458995,6.4892273980996205,8.627766160392759e-11,9.669377802857903e-10"""
83,"83,""ENSMUSG00000112294,588.884194778036,1.6381122874965501,0.254180029349493,6.444693124353139,1.15834550633571e-10,1.28096193932488e-09"""
84,"84,""ENSMUSG00000094158,517.014546605419,1.56099561513154,0.24266016946038,6.4328464725086,1.25236133618848e-10,1.3816939788509303e-09"""
85,"85,""ENSMUSG00000081067,405.95897347378997,1.72011405529068,0.26920685724448995,6.3895625575707395,1.6636096990367199e-10,1.8086488869189702e-09"""
86,"86,""ENSMUSG00000042595,270.60861749906,2.21635753870116,0.348874889973904,6.35287205355175,2.1133148876222498e-10,2.27832714597084e-09"""
87,"87,""ENSMUSG00000029213,468.127446217266,1.56789839338851,0.252799081925475,6.20215224456681,5.569615779358341e-10,5.67211913230699e-09"""
88,"88,""ENSMUSG00000063904,447.140861178699,1.5642163956384598,0.257681603724337,6.070345624330339,1.27635257743265e-09,1.24781301669503e-08"""
89,"89,""ENSMUSG00000038259,398.53622707001097,1.63870569024048,0.273747793832699,5.98618775076586,2.1481638763684e-09,2.05753140450539e-08"""
90,"90,""ENSMUSG00000097053,292.279512469961,1.8692936028476101,0.312984811995093,5.97247384284232,2.33682622518988e-09,2.2270975721378e-08"""
91,"91,""ENSMUSG00000109366,487.704712540068,1.5049091027451797,0.251976961142922,5.97240754043223,2.3377764293159e-09,2.2270975721378e-08"""
92,"92,""ENSMUSG00000102117,128646.41771588901,2.1032969367350502,0.356295035057736,5.9032451473656495,3.5642003900625295e-09,3.3283100016892404e-08"""
93,"93,""ENSMUSG00000085702,232.131164312821,2.25346328482858,0.38376833274914,5.87193651098256,4.30733712615366e-09,3.9828810528128395e-08"""
94,"94,""ENSMUSG00000108763,409.516328507706,1.6008692768610302,0.27599252923188106,5.80040800856613,6.615375766669929e-09,5.98425371076924e-08"""
95,"95,""ENSMUSG00000067596,283.582447859495,1.9279468595467402,0.33411502717701697,5.77030873419919,7.91264294461494e-09,7.094335440089571e-08"""
96,"96,""ENSMUSG00000107230,429.011663805637,1.66249672588922,0.293886092097085,5.65694250458105,1.54093354467462e-08,1.3334675988919198e-07"""
97,"97,""ENSMUSG00000108659,373.07985062268995,1.5739199311090601,0.278551563169636,5.65037192108863,1.60101058777161e-08,1.38123727079005e-07"""
98,"98,""ENSMUSG00000092802,341.40641412343797,1.66132278502816,0.294086244570911,5.64910061486258,1.6128943912524198e-08,1.39064284519062e-07"""
99,"99,""ENSMUSG00000117633,262.99872939859404,1.85705498627989,0.332059448791015,5.59253770082792,2.23774542996871e-08,1.8857764283722e-07"""
