name,"name,""name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"""
0,"0,""ENSMUSG00000086718,3043.27800556598,-3.48329714251067,0.137303382638267,-25.3693468841013,5.497655884182649e-142,7.787979325533148e-138"""
1,"1,""ENSMUSG00000097156,9601.20420082363,-2.67270708698184,0.10842457394654802,-24.6503812714953,3.6456378180509993e-134,2.5822052665255192e-130"""
2,"2,""ENSMUSG00000086502,2699.57357882213,-3.4780582905515294,0.14189006712881103,-24.512345091739697,1.0909792375309299e-132,5.151603959621028e-129"""
3,"3,""ENSMUSG00000099757,4927.790727398929,-3.16804649521125,0.129716484541235,-24.4228519329335,9.780629617241899e-132,3.4638099789462197e-128"""
4,"4,""ENSMUSG00000042388,5703.3305048683,-2.8886813909048903,0.119618432893373,-24.149132546150604,7.624969881019497e-129,2.1603064666904392e-125"""
5,"5,""ENSMUSG00000041219,10176.194325688199,-3.12391882597381,0.131789759532273,-23.7038054933913,3.2941732308371594e-124,7.777542998006539e-121"""
6,"6,""ENSMUSG00000052632,37278.257567633904,-2.47380403093202,0.107135294225363,-23.0904675141722,5.772572820107758e-118,1.1682038081378097e-114"""
7,"7,""ENSMUSG00000044211,8295.98663023111,-2.60417056276174,0.11366658991087598,-22.9106069321129,3.6423471590933186e-116,6.449686231964488e-113"""
8,"8,""ENSMUSG00000080186,5250.70209855166,-3.1133533754466702,0.138622759943141,-22.459178974099697,1.0409374652761599e-111,1.6384355703446695e-108"""
9,"9,""ENSMUSG00000085956,3004.7515925544103,-3.1034844716167598,0.14020838905598598,-22.134798727182602,1.4616408211344299e-108,2.0705603872190395e-105"""
10,"10,""ENSMUSG00000031849,8358.56819359016,-2.46222859002814,0.111666955306381,-22.0497512739783,9.605015544169109e-108,1.2369513654427195e-104"""
11,"11,""ENSMUSG00000113792,5992.08588683031,-2.52840600396192,0.11681959910868499,-21.6436798555487,6.971166391161849e-104,8.229461924766568e-101"""
12,"12,""ENSMUSG00000115161,10957.318825795699,-2.36743832799184,0.10953399476420801,-21.613731272087602,1.3341913352570298e-103,1.4538580350193198e-100"""
13,"13,""ENSMUSG00000097101,5709.99592705258,-2.71233603128027,0.126324955478889,-21.4711022141112,2.9005707293468693e-102,2.9349632108519796e-99"""
14,"14,""ENSMUSG00000037681,9826.98588261271,-2.40851772302557,0.11244513248156501,-21.419492955112396,8.794087664933158e-102,8.305136390762879e-99"""
15,"15,""ENSMUSG00000091269,75661.8282885664,2.16462398102545,0.10140114730915302,21.3471350025845,4.145886246969538e-101,3.670664035910659e-98"""
16,"16,""ENSMUSG00000085408,10526.8335190537,-2.28792854448542,0.10729796878277,-21.323130068915397,6.926712157541358e-101,5.771988495513579e-98"""
17,"17,""ENSMUSG00000107989,9184.53737881219,-2.55774679490599,0.12070833471046699,-21.189479591786498,1.1940972033076695e-99,9.397544990031369e-97"""
18,"18,""ENSMUSG00000018796,2733.07050466828,-3.18814689249825,0.15076584738811302,-21.1463467869556,2.9815716045083294e-99,2.2229970183928993e-96"""
19,"19,""ENSMUSG00000109024,11286.789475135902,-2.382811922952,0.113233495732839,-21.043348591603802,2.6312463371103496e-98,1.86371178057526e-95"""
20,"20,""ENSMUSG00000117096,3272.33462152109,-2.78608898323148,0.132593215189621,-21.0123042815358,5.0617978744861687e-98,3.414544223331959e-95"""
21,"21,""ENSMUSG00000020537,9926.43632467224,-2.3396520360116,0.11171628798065598,-20.9428014330078,2.1824206076049797e-97,1.4052804694241897e-94"""
22,"22,""ENSMUSG00000102571,3630.74688467313,-2.81563454921298,0.134700899579264,-20.902863737418002,5.042714543296629e-97,3.1058736617539193e-94"""
23,"23,""ENSMUSG00000023391,4652.8335545951895,-2.7088077570060802,0.130715574362358,-20.722915155442397,2.15250202119774e-95,1.2705143180119696e-92"""
24,"24,""ENSMUSG00000085314,40646.750343770495,2.07846861419609,0.100749234408154,20.630118197978803,1.4728965896845395e-94,8.346021235788479e-92"""
25,"25,""ENSMUSG00000102759,2645.99151983615,-3.0328404632073505,0.147088441027907,-20.619162471318397,1.8472860841066698e-94,1.0064867179790398e-91"""
26,"26,""ENSMUSG00000111375,15712.4727751154,-2.49795149153333,0.12274528089597501,-20.350692697101,4.577602782505949e-92,2.4017155932214495e-89"""
27,"27,""ENSMUSG00000106528,12605.1084061494,-2.1312755836871498,0.10659374987693901,-19.9943766510483,6.164432446290099e-89,3.1187625012194796e-86"""
28,"28,""ENSMUSG00000047642,4381.96268804599,-2.46436951074552,0.123755946588795,-19.9131401655705,3.1306330240242e-88,1.5292602558043694e-85"""
29,"29,""ENSMUSG00000118367,7878.9820243903005,-2.39321523453792,0.12136125922286801,-19.7197627139235,1.4591139213588897e-86,6.889935936656678e-84"""
30,"30,""ENSMUSG00000049489,3882.8847109947706,-2.6305173556037302,0.133848703237692,-19.652916255246698,5.4584764088383786e-86,2.4943476389549796e-83"""
31,"31,""ENSMUSG00000067719,28575.339796098702,-2.474411574061,0.12628062154328198,-19.5945470003322,1.7211047452788496e-85,7.619115569256307e-83"""
32,"32,""ENSMUSG00000089646,993.794870750224,-4.0357279628002996,0.20639709775185802,-19.5532204995066,3.8728355160773597e-85,1.6625026642652097e-82"""
33,"33,""ENSMUSG00000031872,2820.45680963891,-2.9615401596170097,0.151565009406083,-19.5397352675396,5.0443159734011284e-85,2.1016994140941295e-82"""
