name,"name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj"
0,"ENSMUSG00000112597,554.343849222006,5.19342168655249,0.302416029214493,17.173103224859098,4.222302846926079e-66,5.856334048686468e-62"
1,"ENSMUSG00000028039,4601.37467697876,-1.60999458880831,0.135299280191937,-11.899505943596699,1.1904985938176002e-32,8.25610774812504e-29"
2,"ENSMUSG00000026579,1794.4661897277103,-1.63358442231051,0.150044640937179,-10.8873226801513,1.3247768915906801e-27,6.124885162120889e-24"
3,"ENSMUSG00000088226,17865.653015204298,-1.2071778962792499,0.11180023494827401,-10.797632910501198,3.5319157172665496e-27,1.22469177496218e-23"
4,"ENSMUSG00000030866,1142.25121388105,1.7716812523567,0.193502463095911,9.15585891781932,5.39270837219762e-20,1.4959373024476202e-16"
5,"ENSMUSG00000055415,8718.315940807879,-1.18069942079187,0.134410032895419,-8.784310183976709,1.5732700328283498e-18,3.63687589255488e-15"
6,"ENSMUSG00000026349,8220.051152756321,-0.9303271700085189,0.10624919574428801,-8.75608670250602,2.02146241863853e-18,4.00538339235949e-15"
7,"ENSMUSG00000026193,1507.6913446552899,-1.5575859115400401,0.1790999368162,-8.69674182598122,3.41549326617011e-18,5.921611450222421e-15"
8,"ENSMUSG00000111981,3936.0604696010205,-1.3008874265402601,0.15387633026145,-8.45411002673338,2.81224042048156e-17,4.33397495911991e-14"
9,"ENSMUSG00000046532,2110.3754337284304,-1.17542806560177,0.143747530798456,-8.17703134845363,2.9092234310060095e-16,4.0350928988053296e-13"
10,"ENSMUSG00000108976,8246.64787612318,-0.8415464247518342,0.10587344632401599,-7.94860707732476,1.88620266342442e-15,2.22288132598522e-12"
11,"ENSMUSG00000108155,790.091431934738,-1.7523171951262502,0.220522640393745,-7.9462008617232005,1.9231849972474802e-15,2.22288132598522e-12"
12,"ENSMUSG00000118526,1554.88811745888,-1.23993594045769,0.158829125721715,-7.8067289914456905,5.8691284639696895e-15,6.261908599635349e-12"
13,"ENSMUSG00000033809,2391.11541855501,1.05385050096404,0.136883935282593,7.698861804260651,1.3728354168152199e-14,1.3600876593733699e-11"
14,"ENSMUSG00000035539,1044.68980065359,-1.47816873493994,0.19351280374006896,-7.63860946857782,2.19580219873397e-14,2.03038509976267e-11"
15,"ENSMUSG00000111326,4350.5365063440995,-0.89686010985358,0.11869703590564501,-7.55587621047688,4.16049402540477e-14,3.606628258272761e-11"
