ENSMUSG00000103840,ENSMUSG00000087204,ENSMUSG00000114656,ENSMUSG00000038917,ENSMUSG00000085788,ENSMUSG00000045928,ENSMUSG00000097766,ENSMUSG00000032561,ENSMUSG00000032845,ENSMUSG00000039699,ENSMUSG00000084873,ENSMUSG00000041750,ENSMUSG00000035498,ENSMUSG00000070870,ENSMUSG00000001622,ENSMUSG00000085171,ENSMUSG00000029878,ENSMUSG00000029754,ENSMUSG00000019027,ENSMUSG00000030866,ENSMUSG00000072844,ENSMUSG00000051056,ENSMUSG00000083314,ENSMUSG00000085467,ENSMUSG00000087474,ENSMUSG00000086702,ENSMUSG00000094566,ENSMUSG00000081068,ENSMUSG00000081355,ENSMUSG00000085204,ENSMUSG00000084783,ENSMUSG00000089646,ENSMUSG00000082051,ENSMUSG00000090192,ENSMUSG00000097077,ENSMUSG00000093926,ENSMUSG00000095991,ENSMUSG00000101838,ENSMUSG00000096192,ENSMUSG00000093671,ENSMUSG00000077420,ENSMUSG00000088453,ENSMUSG00000077599,ENSMUSG00000097914,ENSMUSG00000098328,ENSMUSG00000100868,ENSMUSG00000112109,ENSMUSG00000094132,ENSMUSG00000112290,ENSMUSG00000117958,ENSMUSG00000092624,ENSMUSG00000104306,ENSMUSG00000114162,ENSMUSG00000102728,ENSMUSG00000102376,ENSMUSG00000113362,ENSMUSG00000112294,ENSMUSG00000105334,ENSMUSG00000108214,ENSMUSG00000107428,ENSMUSG00000108635,ENSMUSG00000112994,ENSMUSG00000114756,ENSMUSG00000113516,ENSMUSG00000103598,ENSMUSG00000116044,ENSMUSG00000116579,ENSMUSG00000096832,ENSMUSG00000071035,ENSMUSG00000113753,ENSMUSG00000114728,ENSMUSG00000104623,ENSMUSG00000117138,ENSMUSG00000109059,ENSMUSG00000019312,ENSMUSG00000027360,ENSMUSG00000072487,ENSMUSG00000096477,ENSMUSG00000058921,ENSMUSG00000100010,ENSMUSG00000102356,ENSMUSG00000042041,ENSMUSG00000097602,ENSMUSG00000086443,ENSMUSG00000097786,ENSMUSG00000108020,ENSMUSG00000026348,ENSMUSG00000040812,ENSMUSG00000118479,ENSMUSG00000063129,ENSMUSG00000033007,ENSMUSG00000029673,ENSMUSG00000091345,ENSMUSG00000009876,ENSMUSG00000037813,ENSMUSG00000043126,ENSMUSG00000103030,ENSMUSG00000026656,ENSMUSG00000040891,ENSMUSG00000029563,ENSMUSG00000024064,ENSMUSG00000051056,ENSMUSG00000078289,ENSMUSG00000113792,ENSMUSG00000083314,ENSMUSG00000082688,ENSMUSG00000096745,ENSMUSG00000082348,ENSMUSG00000082515,ENSMUSG00000081973,ENSMUSG00000082303,ENSMUSG00000083951,ENSMUSG00000081077,ENSMUSG00000081894,ENSMUSG00000086166,ENSMUSG00000083049,ENSMUSG00000081263,ENSMUSG00000087340,ENSMUSG00000083474,ENSMUSG00000091177,ENSMUSG00000089646,ENSMUSG00000094092,ENSMUSG00000082051,ENSMUSG00000095398,ENSMUSG00000091429,ENSMUSG00000111241,ENSMUSG00000107989,ENSMUSG00000093671,ENSMUSG00000093622,ENSMUSG00000093363,ENSMUSG00000118152,ENSMUSG00000088412,ENSMUSG00000080582,ENSMUSG00000088820,ENSMUSG00000087938,ENSMUSG00000065080,ENSMUSG00000097442,ENSMUSG00000097384,ENSMUSG00000106230,ENSMUSG00000112290,ENSMUSG00000108763,ENSMUSG00000104172,ENSMUSG00000102728,ENSMUSG00000103087,ENSMUSG00000103748,ENSMUSG00000105293,ENSMUSG00000106153,ENSMUSG00000107048,ENSMUSG00000109249,ENSMUSG00000112816,ENSMUSG00000115221,ENSMUSG00000113901,ENSMUSG00000116765,ENSMUSG00000056257,ENSMUSG00000112045,ENSMUSG00000113572,ENSMUSG00000100843,ENSMUSG00000113751,ENSMUSG00000050671,ENSMUSG00000067596,ENSMUSG00000070081,ENSMUSG00000015950,ENSMUSG00000066463,ENSMUSG00000039838,ENSMUSG00000076757
0.0,0.0,0.0,2.9542685761,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0,0.0,0.984756192,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0,1.9695123841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8780495362,0.0,0.0,0.0,1.9695123841,0.0,0.0,0.0,0.984756192,0.0,0.984756192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984756192,2.9542685761,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0,0.0,0.0,2.9542685761,0.0,0.0,0.0,0.984756192,0.0,1.9695123841,0.0,1.9695123841,0.0,1.9695123841,0.984756192,0.0,2.9542685761,0.0,0.984756192,0.0,0.0,0.0,0.984756192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9593389084000001,0.0,0.0,0.0,2.9390083626999997,0.0,10.7763639964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9796694542000001,0.0,0.0,0.0,0.0,0.0,0.0,2.9390083626999997,0.0,0.0,0.0,0.0,1.9593389084000001,0.0,0.0,0.0,0.0,0.0,0.9796694542000001,0.0,1.9593389084000001,0.0,0.0,0.0,0.0,1.9593389084000001,0.0,0.0,0.0,0.0,0.0,0.9796694542000001,2.9390083626999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9593389084000001,0.0,0.0,0.0,0.0,0.0,0.0,0.9796694542000001,0.0,5.878016725299999,0.0,0.0,0.9796694542000001,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9954973787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9977486893999999,0.0,0.9977486893999999,3.9909947574,0.0,0.0,0.0,0.9977486893999999,0.0,0.9977486893999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9932460681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9954973787,0.0,0.0,0.0,0.0,0.0,0.0,2.0100971939,2.0100971939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0151457908999997,0.0,0.0,10.0504859697,0.0,0.0,2.0100971939,0.0,0.0,0.0,0.0,0.0,0.0,1.005048597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0100971939,2.0100971939,0.0,0.0,2.0100971939,0.0,0.0,0.0,0.0,2.0100971939,1.005048597,0.0,0.0,0.0,0.0,0.0,0.0,2.0100971939,0.0,0.0,0.0,2.0100971939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0100971939,0.0,2.0100971939,0.0,0.0,0.0,0.0,0.0,0.0,8.0403887757,0.0,0.0,1.005048597,0.0,0.0,0.0
3.9909237458,0.9977309364,1.9954618729,3.9909237458,3.9909237458,1.9954618729,0.9977309364,5.9863856187,1.9954618729,3.9909237458,0.9977309364,0.9977309364,9.9773093645,1.9954618729,1.9954618729,1.9954618729,1.9954618729,1.9954618729,3.9909237458,1.9954618729,7.9818474916,1.9954618729,1.9954618729,0.9977309364,0.9977309364,1.9954618729,0.9977309364,1.9954618729,35.9183137121,2.9931928093,0.9977309364,1.9954618729,16.9614259196,1.9954618729,21.9500806018,0.9977309364,4.9886546822,3.9909237458,5.9863856187,0.9977309364,1.9954618729,4.9886546822,1.9954618729,1.9954618729,3.9909237458,1.9954618729,3.9909237458,2.9931928093,3.9909237458,0.9977309364,3.9909237458,0.9977309364,1.9954618729,4.9886546822,3.9909237458,1.9954618729,3.9909237458,3.9909237458,7.9818474916,1.9954618729,0.9977309364,1.9954618729,3.9909237458,1.9954618729,5.9863856187,0.9977309364,3.9909237458,0.9977309364,4.9886546822,5.9863856187,0.9977309364,4.9886546822,0.9977309364,1.9954618729,0.9977309364,3.9909237458,1.9954618729,7.9818474916,1.9954618729,1.0009332746,3.0027998237,2.0018665491,12.0111992946,10.0093327455,2.0018665491,2.0018665491,6.0055996473,2.0018665491,2.0018665491,6.0055996473,4.0037330982,2.0018665491,6.0055996473,2.0018665491,2.0018665491,4.0037330982,14.013065843699998,2.0018665491,94.08772780780001,1.0009332746,2.0018665491,5.0046663728,1.0009332746,6.0055996473,2.0018665491,1.0009332746,4.0037330982,8.0074661964,8.0074661964,1.0009332746,1.0009332746,1.0009332746,8.0074661964,5.0046663728,4.0037330982,2.0018665491,2.0018665491,15.0139991183,4.0037330982,16.0149323928,3.0027998237,3.0027998237,5.0046663728,2.0018665491,3.0027998237,4.0037330982,8.0074661964,9.008399471,2.0018665491,1.0009332746,1.0009332746,5.0046663728,8.0074661964,1.0009332746,5.0046663728,3.0027998237,1.0009332746,2.0018665491,6.0055996473,8.0074661964,2.0018665491,4.0037330982,4.0037330982,4.0037330982,2.0018665491,2.0018665491,2.0018665491,2.0018665491,2.0018665491,6.0055996473,2.0018665491,17.0158656674,1.0009332746,4.0037330982,2.0018665491,2.0018665491,2.0018665491,2.0018665491,51.0475970021,2.0018665491,1.0009332746,6.0055996473,4.0037330982,6.0055996473,1.0009332746
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9807935571000002,0.0,0.0,0.0,0.0,0.0,1.9807935571000002,0.0,0.9903967786,0.0,0.0,0.0,0.0,0.0,0.0,0.9903967786,18.8175387928,0.9903967786,0.0,0.0,4.9519838927999995,0.0,6.93277745,0.0,1.9807935571000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9711903357,0.0,0.0,0.0,0.0,0.0,1.9807935571000002,0.0,0.0,1.9807935571000002,0.0,0.0,2.9711903357,0.0,0.0,0.0,0.0,0.0,1.9807935571000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9850802097,0.0,0.0,1.9850802097,0.0,0.0,0.0,1.9850802097,0.0,1.9850802097,0.9925401049,0.0,0.0,0.0,0.9925401049,54.5897057672,0.0,0.0,1.9850802097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9701604194,0.0,0.0,0.0,1.9850802097,0.0,1.9850802097,0.0,0.0,1.9850802097,0.0,0.0,0.0,1.9850802097,0.0,0.0,0.0,0.0,0.9925401049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9776203145999998,0.0,0.0,1.9850802097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9776203145999998,0.0,1.9850802097,0.0,0.0,0.0,0.9925401049,11.910481258299999,0.0,0.0,0.0,1.9850802097,3.9701604194,0.0
