Unnamed: 0,E2F1_12hr_dox_rep1,E2F1_12hr_dox_rep2,E2F1_6hr_dox_rep1,E2F1_6hr_dox_rep2,E2F1_2hr_dox_rep1,E2F1_2hr_dox_rep2,E2F1_0hr_rep1,E2F1_0hr_rep2
ENSMUSG00000111964.1,1.9807935571000002,0.9925401049,3.9909237458,10.0093327455,0.9977486893999999,5.0252429848,4.9237809601,5.878016725299999
ENSMUSG00000107771.1,0.0,0.0,0.0,1.0009332746,0.0,0.0,0.0,5.878016725299999
ENSMUSG00000098083.1,0.0,1.9850802097,0.0,0.0,0.9977486893999999,2.0100971939,1.9695123841,1.9593389084000001
ENSMUSG00000110825.1,0.0,0.0,0.0,0.0,0.9977486893999999,0.0,0.0,0.0
ENSMUSG00000112099.1,5.9423806714,7.9403208389,1.9954618729,14.013065843699998,17.9594764085,8.0403887757,7.8780495362,3.9186778169
ENSMUSG00000114321.1,20.7983323499,28.783663040900002,58.866125250299994,65.0606628458,24.943717234,28.141360715100003,34.466466720999996,50.9428116195
ENSMUSG00000064081.4,0.0,0.0,0.9977309364,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000093525.1,0.0,0.0,0.0,0.0,7.9819895149,0.0,0.0,0.0
ENSMUSG00000100702.1,0.0,0.9925401049,0.0,0.0,0.0,0.0,0.984756192,0.0
ENSMUSG00000098987.1,0.9903967786,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000114500.1,1.9807935571000002,0.9925401049,4.9886546822,8.0074661964,1.9954973787,2.0100971939,3.9390247681,0.0
ENSMUSG00000114607.1,14.855951678499999,33.7463635652,11.9727712374,12.0111992946,11.9729842723,23.1161177303,23.6341486087,13.715372359100002
ENSMUSG00000059179.6,51.5006324855,24.813502621399998,9.9773093645,17.0158656674,18.9572250978,16.080777551500002,9.8475619203,3.9186778169
ENSMUSG00000114754.1,0.0,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0
ENSMUSG00000080824.1,29.711903356999997,25.8060427263,17.959156856,23.0214653147,41.9054449531,59.2978672211,20.6798800326,40.166447623
ENSMUSG00000084007.3,7.923174228500001,11.910481258299999,11.9727712374,21.019598765599998,6.9842408255,0.0,7.8780495362,3.9186778169
ENSMUSG00000079359.2,0.0,0.0,0.0,0.0,0.0,1.005048597,0.0,0.0
ENSMUSG00000072476.6,2.9711903357,0.9925401049,3.9909237458,0.0,0.9977486893999999,0.0,0.0,0.0
ENSMUSG00000080974.2,0.0,0.9925401049,2.9931928093,1.0009332746,0.0,0.0,0.0,0.0
ENSMUSG00000087286.1,0.0,2.9776203145999998,0.0,5.0046663728,0.9977486893999999,2.0100971939,1.9695123841,1.9593389084000001
ENSMUSG00000106257.1,0.0,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0
ENSMUSG00000092029.1,6.93277745,23.820962516599998,21.9500806018,8.0074661964,10.975235583,15.0757289545,8.8628057283,19.593389084400002
ENSMUSG00000118294.1,0.0,1.9850802097,0.0,0.0,0.0,0.0,0.0,0.0
ENSMUSG00000112135.1,1.9807935571000002,4.9627005243,3.9909237458,0.0,0.0,2.0100971939,5.9085371522,3.9186778169
ENSMUSG00000112614.1,31.6926969142,41.686684404,23.945542474699998,29.027064961999997,18.9572250978,16.080777551500002,27.5731733768,13.715372359100002
ENSMUSG00000096641.7,0.0,0.0,0.0,0.0,0.0,2.0100971939,0.0,1.9593389084000001
ENSMUSG00000114409.1,0.0,12.903021363199999,21.9500806018,2.0018665491,8.9797382042,0.0,2.9542685761,0.0
ENSMUSG00000112027.1,0.0,0.0,0.0,1.0009332746,0.0,0.0,0.984756192,0.0
ENSMUSG00000112919.1,0.9903967786,0.0,0.0,0.0,0.0,0.0,0.984756192,0.0
ENSMUSG00000083763.1,0.0,1.9850802097,7.9818474916,4.0037330982,1.9954973787,3.0151457908999997,6.8932933442,1.9593389084000001
ENSMUSG00000105156.1,1.9807935571000002,6.947780734,7.9818474916,8.0074661964,8.9797382042,1.005048597,0.984756192,5.878016725299999
ENSMUSG00000081606.1,0.0,0.0,0.0,0.0,0.9977486893999999,0.0,0.0,0.0
ENSMUSG00000113512.1,0.0,0.0,0.9977309364,1.0009332746,0.0,1.005048597,0.0,0.0
ENSMUSG00000091117.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9796694542000001
ENSMUSG00000117939.1,0.0,1.9850802097,1.9954618729,0.0,1.9954973787,2.0100971939,1.9695123841,0.9796694542000001
ENSMUSG00000110250.1,2.9711903357,1.9850802097,0.9977309364,2.0018665491,1.9954973787,0.0,1.9695123841,0.0
ENSMUSG00000081943.1,0.0,0.0,0.0,1.0009332746,0.0,0.0,1.9695123841,0.0
ENSMUSG00000098138.1,0.0,0.0,0.0,0.0,0.0,1.005048597,0.0,0.0
ENSMUSG00000083033.1,0.0,2.9776203145999998,0.0,0.0,5.9864921362,1.005048597,0.0,0.0
ENSMUSG00000084137.1,0.0,0.0,0.0,0.0,5.9864921362,2.0100971939,0.0,15.6747112675
ENSMUSG00000114878.1,0.0,0.0,0.0,4.0037330982,0.0,0.0,0.0,0.0
ENSMUSG00000114365.1,0.0,0.0,0.0,0.0,0.9977486893999999,0.0,1.9695123841,0.0
