name,0hr,2hr,6hr,12hr,class
ENSMUSG00000039652.16,215.5272799285,272.3681697783,371.3462448584,191.5602402376,4
ENSMUSG00000033615.9,0,2.0100971939,0,0,1
ENSMUSG00000039714.9,3.9186778169,0,2.0018665491,1.9850802097,4
ENSMUSG00000065979.12,2108.2486654826,2105.5768106476,1661.5492357545,2043.6400759022,4
ENSMUSG00000034022.8,4025.4617873921,4272.4615857103,4288.9990814507,5636.6352554875,4
ENSMUSG00000016481.15,1518.4876540418,1712.6028092332,1419.3233833132,1639.6762532251,4
ENSMUSG00000026616.16,12.7357029049,8.0403887757,0,21.8358823069,4
ENSMUSG00000047657.6,7.8373556338,20.1009719394,21.0195987656,20.843342202,4
ENSMUSG00000020038.10,698.5043208592,884.4427653317,1068.9967372204,716.6139557073,4
ENSMUSG00000038135.4,30.3697530808,16.0807775515,7.0065329219,0.9925401049,4
ENSMUSG00000071713.6,6.8576861795,0,2.0018665491,0,3
ENSMUSG00000024576.14,11216.2355813708,12780.197959043,12052.2375588676,10334.3275717795,4
ENSMUSG00000025162.18,7324.0088397527,7373.036507356,6710.2566725894,5966.1585703003,4
ENSMUSG00000027447.6,8571.1280549754,7577.0613725405,7799.2720753008,8434.6058110817,4
ENSMUSG00000052928.9,901.2958978829,1238.2198714644,1227.1441945994,626.2928061653,4
ENSMUSG00000038545.13,8686.7290505734,7216.248926229,7097.6178498406,4785.0358455195,4
ENSMUSG00000025193.14,134.2147152282,133.6714633967,91.0849279841,144.9108553092,4
ENSMUSG00000029380.11,61.7191756159,112.5654428604,65.0606628458,43.6717646137,4
ENSMUSG00000061353.11,3917.6981474279,2987.0044301884,3012.8091563983,2433.7083371114,4
ENSMUSG00000044365.15,9.7966945422,23.1161177303,46.0429306293,25.8060427263,4
ENSMUSG00000038567.5,8.817025088,0,10.0093327455,1.9850802097,4
ENSMUSG00000022818.13,0,2.0100971939,0,2.9776203146,2
ENSMUSG00000052974.8,6.8576861795,10.0504859697,6.0055996473,30.7687432506,2
ENSMUSG00000026832.12,174.3811628513,82.4139849514,120.1119929461,126.0525933169,4
ENSMUSG00000078700.10,184.1778573935,165.8330184997,144.1343915353,95.2838500664,4
ENSMUSG00000047044.7,1074.6973912799,1009.0687913557,1177.0975308719,2274.9019203341,4
ENSMUSG00000113196.1,6.8576861795,11.0555345666,12.0111992946,0.9925401049,4
ENSMUSG00000073437.10,278.2261249986,241.2116632723,521.486236041,459.5460685492,4
ENSMUSG00000025766.14,141.0724014078,98.4947625028,175.1633230464,178.6572188744,4
ENSMUSG00000106820.1,17.634050176,15.0757289545,8.0074661964,15.8806416777,4
ENSMUSG00000029092.9,0.9796694542,3.0151457909,4.0037330982,9.9254010486,2
ENSMUSG00000037813.13,0,0,2.0018665491,0,0
ENSMUSG00000030347.6,552.5335721804,609.0594497625,542.5058348066,856.5621104923,4
ENSMUSG00000110580.1,23.5120669013,22.1110691333,12.0111992946,42.6792245089,4
ENSMUSG00000043126.5,0,3.0151457909,4.0037330982,0,0
ENSMUSG00000107994.1,76.4142174292,73.3685475787,53.0494635512,49.6270052429,4
ENSMUSG00000022150.16,2586.3273591422,2589.0051857891,1783.6630952497,1933.468124263,4
ENSMUSG00000026883.17,2137.6387491092,2346.7884739199,3763.5091123115,3043.1279614941,4
ENSMUSG00000039168.15,8010.7571271612,9285.6439873858,7156.6729130391,6483.2719649312,4
ENSMUSG00000017734.15,21.5527279929,15.0757289545,29.027064962,23.8209625166,4
ENSMUSG00000040325.16,1614.4952605554,1705.5674690544,3518.2804600465,4058.4964887636,4
ENSMUSG00000026554.15,6725.4308032239,5732.7971971045,5150.802630839,4604.3935464354,4
ENSMUSG00000028078.14,2065.1432094969,2191.0059413899,3328.1031378818,2921.0455285965,4
ENSMUSG00000021962.9,1259.8549181276,1244.2501630462,860.8026161138,888.3233938477,4
ENSMUSG00000022303.9,0,0,0,1.9850802097,2
ENSMUSG00000027708.14,1253.9769014023,1175.9068584524,2354.1950617438,1196.0108263537,4
ENSMUSG00000061313.8,2160.1711465563,2241.2583712383,1841.7172251737,1571.1909859899,4
ENSMUSG00000015023.7,1561.5931100275,1639.2342616545,2637.4591784417,2603.432695042,4
ENSMUSG00000027905.15,749.4471324787,855.2963560196,1269.1833921306,1336.9515212435,4
