,EV_0hr_ser_rep1,EV_0hr_ser_rep2,EV_2hr_ser_rep1,EV_2hr_ser_rep2,EV_6hr_ser_rep1,EV_6hr_ser_rep2,EV_12hr_ser_rep1,EV_12hr_ser_rep2
ENSMUSG00000115139.1,0,0,0,0,0,0,2.9929674803,0
ENSMUSG00000104860.1,0,0,12.7782239563,0,0,0,0,0
ENSMUSG00000105553.1,10.8276794388,6.9091814371,2.948820913,2.9682289439,1.9633932112,4.8998760989,0,1.9966355759
ENSMUSG00000105378.1,6.890341461,10.8572851154,9.8294030433,9.8940964796,0.9816966056,1.9599504396,0.9976558268,0
ENSMUSG00000105867.2,0,0,0,0,0,0,2.9929674803,0
ENSMUSG00000106304.1,1.9686689889,0,0,0,0,0,0,0.9983177879
ENSMUSG00000105745.1,0,0,0,0,1.9633932112,0,0.9976558268,0
ENSMUSG00000105253.1,0,0,7.8635224346,0,0,0,0,0
ENSMUSG00000106679.1,0,0,0,1.9788192959,0,0,0,0
ENSMUSG00000106764.1,0,0,0,0.989409648,0,0,0,0
ENSMUSG00000107218.1,0,0,0,0,0.9816966056,0,3.990623307,1.9966355759
ENSMUSG00000107178.1,6.890341461,5.9221555175,2.948820913,0,0,0,10.9742140944,3.9932711517
ENSMUSG00000105047.1,0.9843344944,6.9091814371,7.8635224346,5.9364578878,1.9633932112,6.8598265384,3.990623307,12.9781312431
ENSMUSG00000105086.1,1.9686689889,3.9481036783,0,0,0,0,0,0
ENSMUSG00000106604.1,0,0,0,1.9788192959,1.9633932112,0,0,0
ENSMUSG00000105502.1,0,0,0,0,0,0,0.9976558268,0
ENSMUSG00000105184.1,0,0,0,0,0,5.8798513187,0,0
ENSMUSG00000104869.1,0,0,0,0,0,0,0,0.9983177879
ENSMUSG00000107058.1,0,1.9740518392,0,0,0,0,0,0
ENSMUSG00000106714.1,0,0,0,0,0,0,1.9953116535,0
ENSMUSG00000106990.1,197.851233381,205.3013912736,278.1721061253,254.2782795269,172.7786025894,266.5532597797,312.2662737765,307.4818786835
ENSMUSG00000106959.1,6.890341461,1.9740518392,12.7782239563,1.9788192959,10.7986626618,11.7597026373,6.9835907873,7.9865423035
