,EV_0hr_ser_rep1,EV_0hr_ser_rep2,EV_2hr_ser_rep1,EV_2hr_ser_rep2,EV_6hr_ser_rep1,EV_6hr_ser_rep2,EV_12hr_ser_rep1,EV_12hr_ser_rep2
ENSMUSG00000109644.1,27.5613658441,22.7015961504,0,0,13.7437524787,20.5794796153,3.990623307,5.9899067276
ENSMUSG00000007777.9,450.8251984502,528.0588669777,146.4581053451,140.496170011,321.0147900383,340.051401263,517.7833740894,467.2127247529
ENSMUSG00000086714.1,36.420376294,29.6107775875,43.2493733905,23.7458315512,50.0665268867,24.4993804945,25.9390514958,31.9461692139
ENSMUSG00000043644.4,101.3864529266,152.9890175356,66.8399406944,40.5657955665,36.322774408,41.1589592307,60.8570054325,62.8940206398
ENSMUSG00000042208.15,558.1176583433,644.5279254887,821.7380944197,879.5851770405,637.1210970484,734.0014396138,989.6745801478,941.4136740213
ENSMUSG00000020831.18,29.530034833,14.8053887938,52.0958361295,71.2374946535,43.1946506473,40.1789840109,59.8593496057,38.9343937294
ENSMUSG00000089755.1,2.9530034833,0,2.948820913,10.8835061276,7.853572845,0.9799752198,0.9976558268,3.9932711517
ENSMUSG00000107002.1,1415.4730029941,1314.7185248865,1293.5494404979,1313.936012497,1466.6547287986,1345.5059767554,1641.1438350232,2059.5295965069
ENSMUSG00000046683.16,1.9686689889,0.9870259196,2.948820913,0,0,0,0,0
ENSMUSG00000058706.5,1085.7209473592,990.9740232628,1379.0652469746,1248.6349757313,951.2640108473,766.3406218665,1044.5456506197,953.3934874765
ENSMUSG00000099146.7,1.9686689889,0,0,0,0.9816966056,0,0,0
ENSMUSG00000108236.1,0,0,0,0,0,0,0,5.9899067276
ENSMUSG00000097882.2,47.2480557328,58.2345292555,14.7441045649,2.9682289439,23.5607185349,29.3992565933,43.8968563775,29.949533638
ENSMUSG00000058812.2,7.8746759555,13.8183628742,5.897641826,4.9470482398,4.9084830281,6.8598265384,1.9953116535,2.9949533638
ENSMUSG00000089889.2,33.4673728107,47.3772441401,7.8635224346,15.8305543674,22.5790219293,14.6996282967,23.9437398423,42.9276648811
ENSMUSG00000087341.4,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000060512.7,0,0,0,5.9364578878,0,0,0,1.9966355759
ENSMUSG00000087361.7,0,3.9481036783,7.8635224346,0,0,0,0,0
ENSMUSG00000097863.1,17.7180208998,20.7275443113,12.7782239563,8.9046868317,8.8352694506,1.9599504396,7.9812466141,13.9764490311
ENSMUSG00000097222.2,4.9216724722,1.9740518392,4.9147015216,0.989409648,0,4.8998760989,3.990623307,1.9966355759
ENSMUSG00000090066.2,0,1.9740518392,25.5564479126,46.5022534543,6.8718762394,11.7597026373,8.9789024409,12.9781312431
ENSMUSG00000097134.2,7.8746759555,6.9091814371,4.9147015216,0,0,0,0,13.9764490311
ENSMUSG00000071456.6,300.222020802,217.1457023086,159.2363293014,164.2420015621,235.6071853492,152.8761342854,206.5147561397,267.5491671662
ENSMUSG00000106291.1,5.9060069666,37.5069849442,12.7782239563,1.9788192959,8.8352694506,0.9799752198,4.9882791338,3.9932711517
ENSMUSG00000030663.12,3318.1915807325,3535.5268439516,2578.2524182569,2759.4635081732,4079.9310929632,4169.7945601561,4178.1826024786,4581.2803288271
ENSMUSG00000107121.1,54.1383971938,68.1047884513,35.3858509559,32.6505183828,84.4259080835,65.6583397251,78.8148103142,90.846918702
ENSMUSG00000039195.4,370.1097699067,358.2904088092,384.3296589929,386.8591723542,410.3491811498,276.3530119774,455.9287128302,393.3372084458
ENSMUSG00000045237.5,852.4336721787,762.9710358388,326.3361810375,309.6852198129,920.831416073,971.1554428002,707.3379811742,757.7232010416
ENSMUSG00000116164.1,16.7336864054,3.9481036783,2.948820913,0,0.9816966056,6.8598265384,5.9859349606,3.9932711517
ENSMUSG00000028441.12,7.8746759555,6.9091814371,2.948820913,17.8093736634,21.5973253237,5.8798513187,9.9765582676,0
ENSMUSG00000112289.1,0,0,0,0,0,0,1.9953116535,0
ENSMUSG00000097616.7,91.5431079822,133.2484991439,20.6417463909,12.8623254235,30.4325947743,30.3792318131,52.8757588184,71.8788807312
ENSMUSG00000097047.2,15.7493519109,20.7275443113,11.795283652,10.8835061276,4.9084830281,14.6996282967,11.9718699211,7.9865423035
ENSMUSG00000103520.1,118.1201393319,105.6117733955,31.4540897386,31.6611087349,42.2129540417,40.1789840109,37.910921417,65.8889740036
ENSMUSG00000085972.1,0,0,0,0,0,0,0.9976558268,0
ENSMUSG00000037971.10,359.2820904679,350.3942014525,136.6287023018,109.8244709241,138.4192213926,170.5156882414,131.6905691326,177.7005662522
ENSMUSG00000099098.4,13.7806829221,8.8832332763,2.948820913,3.9576385919,1.9633932112,0,0.9976558268,7.9865423035
ENSMUSG00000092203.7,7170.8767919418,6108.7034163083,4566.740653916,4871.8531065776,3807.0194366004,3301.5365154326,3353.1212337466,3262.5025309668
ENSMUSG00000063236.6,949.8827871275,1134.0927816026,842.3798408106,829.1252849943,853.0943502851,886.8775738992,769.1926424334,935.4237672937
ENSMUSG00000085457.3,61.0287386548,73.0399180493,61.9252391728,85.089229725,52.0299200979,35.279107912,42.8992005508,48.9175716087
ENSMUSG00000040591.18,1144.7810170252,1125.2095483263,786.3522434638,589.6881501869,588.0362667673,573.2855035702,622.5372358994,875.5247000177
ENSMUSG00000035171.9,767.7809056575,926.8173384898,512.1118985558,542.1964870846,886.4720348763,882.9576730201,1318.9010029792,1316.7811622844
ENSMUSG00000032551.7,453.7782019334,433.3043786976,302.7456137336,266.1511953025,372.0630135306,426.2892206035,372.1256233822,391.34057287
ENSMUSG00000078570.10,981.3814909493,832.0628502097,771.6081388989,835.0617428821,1122.0792202255,1083.8525930747,1086.4471953437,1212.9561123393
ENSMUSG00000111857.1,4.9216724722,34.5459071855,7.8635224346,0,0.9816966056,4.8998760989,42.8992005508,31.9461692139
ENSMUSG00000043687.15,10.8276794388,7.8962073567,0,0,0.9816966056,5.8798513187,2.9929674803,4.9915889397
ENSMUSG00000063320.11,121.0731428152,154.9630693748,55.0446570425,51.4493016942,85.4076046891,54.8786123076,117.7233875579,189.6803797074
ENSMUSG00000087684.1,14.7650174165,21.7145702309,9.8294030433,10.8835061276,29.4508981686,25.4793557142,20.950772362,35.9394403656
ENSMUSG00000097290.9,149.6188431538,112.5209548326,45.2152539992,101.9091937404,84.4259080835,46.0588353296,64.8476287395,49.9158893967
ENSMUSG00000112545.1,47.2480557328,45.4031923009,14.7441045649,10.8835061276,1.9633932112,6.8598265384,22.9460840155,9.9831778793
ENSMUSG00000033688.10,0.9843344944,3.9481036783,0.9829403043,0,0.9816966056,1.9599504396,3.990623307,0
ENSMUSG00000096221.3,66.9347456214,101.6636697172,132.6969410845,128.6232542354,74.6089420272,89.1777449998,99.7655826762,75.8721518829
ENSMUSG00000097595.2,1.9686689889,6.9091814371,3.9317612173,0,5.8901796337,1.9599504396,2.9929674803,4.9915889397
ENSMUSG00000098912.7,67.9190801159,71.0658662101,116.9698962152,57.3857595819,87.3709979003,104.8573485163,105.7515176368,104.823367733
ENSMUSG00000104888.1,8.8590104499,6.9091814371,5.897641826,1.9788192959,4.9084830281,6.8598265384,3.990623307,1.9966355759
ENSMUSG00000072694.8,167.3368640536,73.0399180493,93.3793289113,128.6232542354,101.114750379,60.7584636262,81.8077777945,138.7661725228
ENSMUSG00000098702.1,161.430857087,192.470054319,264.4109418647,288.9076172057,311.197823982,275.3730367577,242.4303659031,266.5508493783
ENSMUSG00000097383.1,10.8276794388,0,0,4.9470482398,0,0,2.9929674803,1.9966355759
ENSMUSG00000117718.1,11.8120139332,20.7275443113,0,0,1.9633932112,4.8998760989,0,0
ENSMUSG00000043747.12,1.9686689889,3.9481036783,9.8294030433,1.9788192959,0,6.8598265384,0,20.9646735466
ENSMUSG00000035595.6,512.8382715994,360.2644606483,119.9187171282,155.3373147304,153.144670477,172.475638681,218.4866260608,197.6669220108
ENSMUSG00000101585.6,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000050088.9,1796.4104523396,1798.3612254829,2069.0893406141,2127.2307431239,2091.0137699739,1925.6513068641,1629.1719651021,1617.2748164524
ENSMUSG00000054676.15,545.3213099157,639.5927958907,401.0396441665,361.1345215071,722.5287017375,629.1440910976,807.1035638503,772.6979678606
ENSMUSG00000094690.2,0,0,0.9829403043,0,0,0,0,0
ENSMUSG00000099429.1,0,0,0,0,13.7437524787,4.8998760989,8.9789024409,1.9966355759
ENSMUSG00000097048.7,459.6842089,401.7195492709,183.8098369097,252.299460231,210.083073603,293.0125907137,303.2873713356,203.6568287384
ENSMUSG00000104986.1,15.7493519109,14.8053887938,17.6929254779,0,6.8718762394,9.7997521978,31.9249864564,5.9899067276
ENSMUSG00000085114.1,0,0,2.948820913,18.7987833113,0,6.8598265384,3.990623307,0
ENSMUSG00000110340.1,0,6.9091814371,2.948820913,1.9788192959,0,0,2.9929674803,1.9966355759
ENSMUSG00000057818.8,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000047150.8,0.9843344944,6.9091814371,0,0,8.8352694506,4.8998760989,0,0
ENSMUSG00000085984.7,25.5926968552,12.8313369546,0.9829403043,6.9258675358,18.6522355068,3.9199008791,11.9718699211,3.9932711517
ENSMUSG00000103746.1,25.5926968552,40.468062703,35.3858509559,16.8199640154,38.2861676192,36.2590831318,63.8499729128,39.9327115173
ENSMUSG00000095040.2,4.9216724722,0,0,4.9470482398,5.8901796337,0,0.9976558268,3.9932711517
ENSMUSG00000101963.2,0,0,0,0,0,0,0.9976558268,1.9966355759
ENSMUSG00000056508.6,24.6083623608,22.7015961504,32.4370300429,21.7670122552,32.3959879855,40.1789840109,0.9976558268,4.9915889397
ENSMUSG00000118314.1,2.9530034833,3.9481036783,2.948820913,0,2.9450898169,0,3.990623307,4.9915889397
ENSMUSG00000075511.9,15.7493519109,21.7145702309,21.6246866953,39.5763859186,26.5058083518,9.7997521978,8.9789024409,3.9932711517
ENSMUSG00000044320.14,29.530034833,29.6107775875,0.9829403043,8.9046868317,11.7803592675,9.7997521978,19.9531165352,24.9579446983
ENSMUSG00000018543.8,4.9216724722,13.8183628742,7.8635224346,2.9682289439,1.9633932112,4.8998760989,3.990623307,3.9932711517
ENSMUSG00000030030.5,32.4830383163,93.7674623605,12.7782239563,3.9576385919,19.6339321124,33.3191574725,9.9765582676,20.9646735466
ENSMUSG00000095110.1,0,0,0,0,0,0.9799752198,0,0
ENSMUSG00000038523.10,30.5143693274,51.3253478184,37.3517315645,21.7670122552,10.7986626618,46.0588353296,25.9390514958,50.9142071846
ENSMUSG00000087621.7,9.8433449443,0,0,1.9788192959,0,0,0,0
ENSMUSG00000085389.7,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000102463.1,1.9686689889,1.9740518392,0,0,0.9816966056,0,0,0
ENSMUSG00000118311.1,0,0,2.948820913,0,0,0,0,0
ENSMUSG00000102000.6,0,3.9481036783,0,0,0,0,0,0
ENSMUSG00000034764.15,15.7493519109,16.7794406329,81.5840452594,46.5022534543,34.3593811968,29.3992565933,54.8710704719,57.9024317001
ENSMUSG00000101234.1,0,0,0,0,0,1.9599504396,0,0
ENSMUSG00000086330.7,48.2323902272,40.468062703,57.0105376511,60.3539885258,59.8834929429,64.6783645054,44.8945122043,18.9680379707
ENSMUSG00000097318.2,32.4830383163,61.1956070142,12.7782239563,42.5446148625,35.3410778024,50.9587114285,57.8640379522,42.9276648811
ENSMUSG00000103452.1,5.9060069666,6.9091814371,4.9147015216,1.9788192959,1.9633932112,1.9599504396,0,0
ENSMUSG00000104872.1,5.9060069666,3.9481036783,3.9317612173,8.9046868317,5.8901796337,6.8598265384,3.990623307,1.9966355759
ENSMUSG00000101225.1,62.9974076437,88.8323327626,31.4540897386,32.6505183828,51.0482234923,57.8185379669,103.7562059832,103.8250499451
ENSMUSG00000008028.15,1.9686689889,6.9091814371,0,0,0,0,6.9835907873,2.9949533638
ENSMUSG00000028287.4,0,0,2.948820913,0,0,4.8998760989,0,0
ENSMUSG00000099958.1,3.9373379777,0,0,0,0,0,0,0
ENSMUSG00000115752.1,0,0.9870259196,7.8635224346,0,0,1.9599504396,0,1.9966355759
ENSMUSG00000067101.5,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000100010.5,0,0,0,1.9788192959,0,0,0,0
ENSMUSG00000023873.13,127.9634842762,135.2225509831,63.8911197814,89.0468683168,64.791975971,69.5782406042,98.7679268494,106.8200033089
ENSMUSG00000100314.6,0,1.9740518392,0,0,0,0,0,0
ENSMUSG00000085102.1,0,0.9870259196,0,0.989409648,0.9816966056,0,1.9953116535,0
ENSMUSG00000108791.1,0.9843344944,0,0,0,0,0,0,0.9983177879
ENSMUSG00000020617.13,0,0,0,0.989409648,0,0,0,0
ENSMUSG00000085470.1,0,0,0,3.9576385919,0,0,0,0
ENSMUSG00000110424.1,166.3525295591,143.1187583397,34.4029106515,23.7458315512,71.6638522104,64.6783645054,93.7796477156,89.848600914
ENSMUSG00000102069.1,0,1.9740518392,0,0,0,0,0,0
ENSMUSG00000103545.1,0,0,0,0,0,0,0,3.9932711517
ENSMUSG00000027886.7,0,2.9610777588,0,0,0,0,0.9976558268,0
ENSMUSG00000054727.2,7.8746759555,1.9740518392,0,8.9046868317,1.9633932112,0,0.9976558268,0.9983177879
ENSMUSG00000106586.1,1.9686689889,1.9740518392,0,0,0,0,0,0
ENSMUSG00000051054.4,1.9686689889,1.9740518392,0,1.9788192959,0,0,0,3.9932711517
ENSMUSG00000113696.1,0,8.8832332763,2.948820913,0,0,0,0,0
ENSMUSG00000079666.8,0,1.9740518392,0,10.8835061276,0,0,0.9976558268,1.9966355759
ENSMUSG00000094445.7,0,0,2.948820913,1.9788192959,0,0,0.9976558268,0
ENSMUSG00000110335.1,0,0,2.948820913,0,0,0,0,0
ENSMUSG00000097671.2,0.9843344944,0,0.9829403043,0,0,0,0,0
ENSMUSG00000102737.1,2.9530034833,11.844311035,22.6076269996,35.6187473267,9.8169660562,6.8598265384,11.9718699211,6.9882245155
ENSMUSG00000108979.1,1.9686689889,0,9.8294030433,1.9788192959,0,6.8598265384,7.9812466141,5.9899067276
ENSMUSG00000015962.5,1.9686689889,10.8572851154,0,10.8835061276,6.8718762394,0,0,5.9899067276
ENSMUSG00000031509.10,0,0,0,1.9788192959,0,4.8998760989,5.9859349606,0
ENSMUSG00000100625.7,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000029320.11,0,0.9870259196,0,0,0,0,0,0
ENSMUSG00000111103.1,1.9686689889,0,0,0.989409648,0,0,0,0
ENSMUSG00000114563.1,0,0,2.948820913,0,0,0,0,0.9983177879
ENSMUSG00000085609.1,1.9686689889,0,7.8635224346,0,0,0,0,0
ENSMUSG00000032300.7,1382.9899646779,1211.0808033302,1257.1806492377,1417.8240255333,1279.1506771249,1384.7049855466,1407.692371561,1394.6499497432
ENSMUSG00000056912.12,3.9373379777,0,0,0,0,0,0,0
ENSMUSG00000038408.14,156.5091846148,103.6377215564,46.1981943035,25.7246508471,186.5223550681,108.7772493954,142.6647832269,98.8334610054
ENSMUSG00000107368.1,0,2.9610777588,0,0,0,1.9599504396,2.9929674803,0
ENSMUSG00000031809.10,0,0,0,0,1.9633932112,0,0,0
ENSMUSG00000100075.1,32.4830383163,45.4031923009,4.9147015216,3.9576385919,1.9633932112,1.9599504396,12.9695257479,11.9798134552
ENSMUSG00000046145.7,0,0,0.9829403043,0,0,0,0.9976558268,0.9983177879
ENSMUSG00000110709.1,0,3.9481036783,0,0,0,0,0,0
ENSMUSG00000060715.9,1.9686689889,0,0,0,0,1.9599504396,0.9976558268,0
ENSMUSG00000043629.12,0,3.9481036783,4.9147015216,1.9788192959,0,0,0,5.9899067276
ENSMUSG00000111639.1,5.9060069666,0,7.8635224346,0,2.9450898169,6.8598265384,0.9976558268,1.9966355759
ENSMUSG00000027409.5,3.9373379777,1.9740518392,0,0,10.7986626618,0,0,0
ENSMUSG00000100937.1,68.9034146103,30.5978035071,12.7782239563,8.9046868317,34.3593811968,49.9787362087,46.8898238578,24.9579446983
ENSMUSG00000110052.1,0.9843344944,0,0,0,7.853572845,9.7997521978,0,0
ENSMUSG00000035085.5,15.7493519109,2.9610777588,7.8635224346,13.8517350715,8.8352694506,18.6195291758,28.9320189761,10.9814956673
ENSMUSG00000050844.5,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000019797.11,524.6502855326,581.3582666353,578.9518392502,706.4384886467,687.1876239351,618.36436368,783.1598240081,729.7703029794
ENSMUSG00000086890.1,6.890341461,2.9610777588,0.9829403043,0,1.9633932112,0,0.9976558268,0.9983177879
ENSMUSG00000112581.1,0,0,0,6.9258675358,0,6.8598265384,0.9976558268,1.9966355759
ENSMUSG00000099360.1,0,6.9091814371,0,0,0,0,0,0
ENSMUSG00000028451.12,3.9373379777,5.9221555175,12.7782239563,0,10.7986626618,4.8998760989,0,3.9932711517
ENSMUSG00000097523.2,22.639693372,22.7015961504,27.5223285212,34.6293376788,5.8901796337,6.8598265384,9.9765582676,12.9781312431
ENSMUSG00000117050.1,40.3577142717,32.5718553463,32.4370300429,40.5657955665,22.5790219293,9.7997521978,25.9390514958,19.9663557587
ENSMUSG00000020940.13,3.9373379777,1.9740518392,0.9829403043,8.9046868317,1.9633932112,9.7997521978,0,0
ENSMUSG00000089827.1,0,9.8702591958,0,1.9788192959,6.8718762394,4.8998760989,0.9976558268,1.9966355759
ENSMUSG00000052334.11,2.9530034833,1.9740518392,2.948820913,0,4.9084830281,0,0,3.9932711517
ENSMUSG00000100558.1,0,0,0,1.9788192959,0,0,0,0
ENSMUSG00000032666.16,1012.8801947712,934.7135458465,619.2523917277,514.4930169416,1187.8528928021,727.1416130754,1524.4181032921,1347.7290137103
ENSMUSG00000090200.1,2.9530034833,0,5.897641826,1.9788192959,0,0,0,0
ENSMUSG00000100121.1,0,0,0,0,4.9084830281,0,0,0
ENSMUSG00000086379.7,0,2.9610777588,0,0,0,0,0,0
ENSMUSG00000097716.1,0.9843344944,3.9481036783,0,0,4.9084830281,1.9599504396,0.9976558268,0
ENSMUSG00000114681.1,3.9373379777,3.9481036783,0,0,4.9084830281,1.9599504396,11.9718699211,3.9932711517
ENSMUSG00000084864.1,20.6710243831,17.7664665525,3.9317612173,21.7670122552,8.8352694506,25.4793557142,12.9695257479,20.9646735466
ENSMUSG00000111422.1,1.9686689889,1.9740518392,0,0.989409648,0,0,0,0
ENSMUSG00000097321.5,4.9216724722,18.7534924721,8.846462739,10.8835061276,16.6888422956,6.8598265384,0,14.974766819
ENSMUSG00000056821.13,0,1.9740518392,0,0,0,0.9799752198,3.990623307,0
ENSMUSG00000038782.7,32.4830383163,14.8053887938,20.6417463909,12.8623254235,21.5973253237,16.6595787362,3.990623307,24.9579446983
ENSMUSG00000089798.10,17.7180208998,3.9481036783,0,3.9576385919,1.9633932112,1.9599504396,0,0
ENSMUSG00000101334.1,0,0,0,10.8835061276,0,0,0.9976558268,0
ENSMUSG00000078635.3,1.9686689889,0,7.8635224346,0,0,1.9599504396,1.9953116535,0
ENSMUSG00000031452.15,0.9843344944,5.9221555175,0,0,0,0,0,0.9983177879
ENSMUSG00000044916.10,62.0130731493,29.6107775875,32.4370300429,28.692879791,11.7803592675,35.279107912,23.9437398423,18.9680379707
ENSMUSG00000099968.7,0,0,12.7782239563,0,0,0,0,0
ENSMUSG00000071103.9,85.6371010156,91.7934105214,27.5223285212,3.9576385919,51.0482234923,50.9587114285,63.8499729128,42.9276648811
ENSMUSG00000087148.1,0,0,2.948820913,0,0,0,0,0
ENSMUSG00000031847.8,66.9347456214,59.2215551751,35.3858509559,31.6611087349,23.5607185349,29.3992565933,21.9484281888,18.9680379707
ENSMUSG00000052794.13,497.0889196885,566.5528778415,321.4214795158,300.7805329812,427.0380234454,421.3893445046,411.0342006259,473.2026314805
ENSMUSG00000099508.1,1.9686689889,3.9481036783,0,0,0,0,0,0
ENSMUSG00000024532.13,0,0,0.9829403043,0,0,0,3.990623307,3.9932711517
ENSMUSG00000055833.14,50.2010592161,22.7015961504,25.5564479126,3.9576385919,4.9084830281,9.7997521978,20.950772362,6.9882245155
ENSMUSG00000074619.5,1.9686689889,3.9481036783,0,0,0,0,0,3.9932711517
ENSMUSG00000103287.1,0,0,0,0,4.9084830281,0,0,0
ENSMUSG00000040163.14,3.9373379777,14.8053887938,12.7782239563,3.9576385919,8.8352694506,11.7597026373,3.990623307,0
ENSMUSG00000097893.8,0,5.9221555175,2.948820913,0,4.9084830281,18.6195291758,2.9929674803,0
ENSMUSG00000005983.15,73.8250870824,52.312373738,62.9081794771,33.6399280308,49.0848302811,79.377992802,50.8804471649,57.9024317001
ENSMUSG00000027327.16,1407.5983270387,1448.95404995,1032.0873195462,1183.3339389657,1749.3833512176,1474.8627057661,2026.2389841533,1977.6675378964
ENSMUSG00000097933.2,0,0,0,5.9364578878,1.9633932112,0,0,0
ENSMUSG00000097515.2,3.9373379777,0,0,0,0,1.9599504396,8.9789024409,1.9966355759
ENSMUSG00000107406.1,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000116260.1,0,0,0,1.9788192959,0,0,0,0
ENSMUSG00000100282.1,0,0,0,0,0,0,0,0.9983177879
ENSMUSG00000054822.5,2.9530034833,0,2.948820913,0,0.9816966056,0,0.9976558268,1.9966355759
ENSMUSG00000100857.2,0,0.9870259196,0,0,0,0,0,0
ENSMUSG00000086391.1,0,8.8832332763,0,0,4.9084830281,1.9599504396,2.9929674803,3.9932711517
ENSMUSG00000085437.8,0,0,0,0,0,0,0.9976558268,0
ENSMUSG00000094103.2,3.9373379777,2.9610777588,5.897641826,11.8729157756,7.853572845,1.9599504396,22.9460840155,0
ENSMUSG00000087347.1,11.8120139332,1.9740518392,2.948820913,5.9364578878,10.7986626618,11.7597026373,7.9812466141,3.9932711517
ENSMUSG00000100147.2,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000102356.1,0,0,7.8635224346,0,0,0,0.9976558268,0
ENSMUSG00000085637.2,17.7180208998,8.8832332763,0,0,4.9084830281,0,2.9929674803,0
ENSMUSG00000043773.5,217.5379232696,168.7814322489,151.3728068668,115.7609288119,131.5473451533,192.0751430765,189.5546070848,145.7543970383
ENSMUSG00000079271.4,6.890341461,1.9740518392,0.9829403043,2.9682289439,0,6.8598265384,0.9976558268,0.9983177879
ENSMUSG00000090440.2,0,0,2.948820913,2.9682289439,0,4.8998760989,0.9976558268,0
ENSMUSG00000108263.1,0,0,2.948820913,3.9576385919,0,0,0,0
ENSMUSG00000103341.1,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000099681.1,474.4492263165,409.6157566276,262.445061256,306.716990869,395.6237320655,368.4706826366,376.1162466892,301.4919719559
ENSMUSG00000099988.7,1.9686689889,0,4.9147015216,0,4.9084830281,0,0,2.9949533638
ENSMUSG00000085889.1,0,0,9.8294030433,0,0,13.7196530769,0,0.9983177879
ENSMUSG00000104183.1,1.9686689889,0,0,3.9576385919,0,0,0,0
ENSMUSG00000070997.4,6.890341461,1.9740518392,7.8635224346,0,0,19.5995043956,17.9578048817,1.9966355759
ENSMUSG00000044854.7,29.530034833,32.5718553463,25.5564479126,51.4493016942,64.791975971,44.09888489,78.8148103142,41.9293470932
ENSMUSG00000084792.1,15.7493519109,3.9481036783,14.7441045649,11.8729157756,8.8352694506,15.6796035165,9.9765582676,3.9932711517
ENSMUSG00000086007.1,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000089636.1,52.1697282049,62.1826329338,81.5840452594,112.792699868,59.8834929429,83.2978936811,34.9179539367,18.9680379707
ENSMUSG00000086887.1,0,3.9481036783,0,0,0,0.9799752198,2.9929674803,0
ENSMUSG00000084970.1,2.9530034833,3.9481036783,5.897641826,0.989409648,11.7803592675,8.819776978,3.990623307,0
ENSMUSG00000117966.1,4.9216724722,0,0.9829403043,8.9046868317,2.9450898169,4.8998760989,0,3.9932711517
ENSMUSG00000024209.9,21.6553588775,13.8183628742,12.7782239563,4.9470482398,0,3.9199008791,5.9859349606,1.9966355759
ENSMUSG00000100837.7,0,0,0,0,0,0,0.9976558268,0
ENSMUSG00000117080.1,3.9373379777,0.9870259196,0.9829403043,0,0,0,6.9835907873,4.9915889397
ENSMUSG00000082766.1,0,0,2.948820913,0,0,0,0,1.9966355759
ENSMUSG00000096655.2,0,6.9091814371,2.948820913,5.9364578878,6.8718762394,4.8998760989,20.950772362,5.9899067276
ENSMUSG00000099435.6,0,1.9740518392,0,0,0,0,0,0
ENSMUSG00000100872.2,5.9060069666,1.9740518392,2.948820913,0,0,0,0,0
ENSMUSG00000073598.3,0,0,0,0,0,0.9799752198,0,0
ENSMUSG00000097717.2,0,1.9740518392,0,0,0,0,0,1.9966355759
ENSMUSG00000038323.3,253.9582995636,253.6656613332,293.8991509946,354.2086539713,378.9348897699,313.592070329,382.1021816498,359.3944036561
ENSMUSG00000085800.7,4.9216724722,0,2.948820913,0,0,0,1.9953116535,0
ENSMUSG00000046408.13,46.2637212383,53.2993996576,2.948820913,13.8517350715,16.6888422956,24.4993804945,12.9695257479,15.9730846069
ENSMUSG00000053081.3,21.6553588775,5.9221555175,45.2152539992,26.714060495,14.7254490843,48.0187857691,7.9812466141,17.9697201828
ENSMUSG00000090307.7,1.9686689889,11.844311035,88.4646273897,63.3222174697,9.8169660562,3.9199008791,6.9835907873,1.9966355759
ENSMUSG00000099872.1,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000113209.1,3.9373379777,3.9481036783,0,1.9788192959,5.8901796337,0.9799752198,0,0.9983177879
ENSMUSG00000100747.4,11.8120139332,17.7664665525,70.7717019117,72.2269043014,51.0482234923,77.4180423625,53.8734146451,39.9327115173
ENSMUSG00000058101.3,1.9686689889,2.9610777588,2.948820913,0,4.9084830281,0,0,1.9966355759
ENSMUSG00000115693.1,0,1.9740518392,0,0.989409648,0,1.9599504396,0,0
ENSMUSG00000097080.8,186.0392194478,162.8592767314,170.048672649,172.1572787458,185.5406584625,246.9537553841,217.4889702341,239.5962691041
ENSMUSG00000085085.2,4.9216724722,10.8572851154,2.948820913,0,0,0,0.9976558268,0
ENSMUSG00000115099.1,6.890341461,5.9221555175,0,0.989409648,1.9633932112,0,0,10.9814956673
ENSMUSG00000033029.12,88.5901044989,41.4550886225,60.9422988684,51.4493016942,16.6888422956,29.3992565933,45.892168031,26.9545802742
ENSMUSG00000090462.7,0,0,3.9317612173,2.9682289439,0,0,0,0
ENSMUSG00000085353.2,0.9843344944,0,0,0,0,0,0,0
ENSMUSG00000111487.1,0.9843344944,0,0,0,1.9633932112,4.8998760989,0,0
ENSMUSG00000090840.2,9.8433449443,3.9481036783,26.5393882169,12.8623254235,10.7986626618,14.6996282967,4.9882791338,1.9966355759
ENSMUSG00000117289.1,3.9373379777,0.9870259196,2.948820913,10.8835061276,13.7437524787,4.8998760989,4.9882791338,7.9865423035
ENSMUSG00000020286.12,3.9373379777,0,0,0,1.9633932112,0,0.9976558268,0
ENSMUSG00000118506.1,11.8120139332,6.9091814371,4.9147015216,23.7458315512,6.8718762394,11.7597026373,2.9929674803,0.9983177879
ENSMUSG00000101695.1,0,0,2.948820913,0.989409648,0,0,0,0
ENSMUSG00000086046.1,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000084804.1,0,0.9870259196,0,0,6.8718762394,9.7997521978,0,0.9983177879
ENSMUSG00000101856.1,84.6527665212,96.7285401193,4.9147015216,19.7881929593,15.7071456899,30.3792318131,20.950772362,50.9142071846
ENSMUSG00000108194.1,1.9686689889,0,0,0,0,0,0,0
ENSMUSG00000091906.2,1.9686689889,0,7.8635224346,1.9788192959,0,0,0.9976558268,0
ENSMUSG00000097675.2,5.9060069666,3.9481036783,0,8.9046868317,10.7986626618,16.6595787362,0,0.9983177879
