,EV_0hr_dox_rep1,EV_0hr_dox_rep2,EV_2hr_dox_rep1,EV_2hr_dox_rep2,EV_6hr_dox_rep1,EV_6hr_dox_rep2,EV_12hr_dox_rep1,EV_12hr_dox_rep2
ENSMUSG00000083855.6,1.9932282093,0,0,0,0,0,0,0
ENSMUSG00000075125.2,0,0,0,0,0.997449848,0,0,0
ENSMUSG00000068808.2,0,0,3.9656367819,0,0,1.9882480976,0.9925437262,1.9995241856
ENSMUSG00000081948.4,0,0,0,0,0.997449848,0,0,0
ENSMUSG00000111590.2,11.9593692555,5.9791181518,9.9140919548,2.9574225936,11.969398176,5.9647442928,9.9254372621,0
ENSMUSG00000060827.2,0.9966141046,0,0,3.9432301248,0,0,0,0
ENSMUSG00000075121.2,0,0,1.982818391,1.9716150624,0,0,0,0
ENSMUSG00000075119.2,1.9932282093,0,0,0,0,0,0,0
ENSMUSG00000057447.2,0,0,0,0,0,1.9882480976,0,0
ENSMUSG00000101391.3,0,0,0,0,0,0.9941240488,0,0
ENSMUSG00000075104.3,0,0.996519692,0,0,0,0,0,0
ENSMUSG00000075097.3,0,0,0,0,0,2.9823721464,0.9925437262,0
ENSMUSG00000075074.3,0,0,0,1.9716150624,0,0.9941240488,0,0
ENSMUSG00000049057.4,0.9966141046,0,0,0,0,0,0,0
ENSMUSG00000068806.5,0,0,1.982818391,0,0,0,0,0
ENSMUSG00000075069.3,0,0,0,0,0,0,1.9850874524,0
ENSMUSG00000074965.5,0,0,0,0,0,0,0,0.9997620928
ENSMUSG00000059030.5,0,0,0,0,0,0,6.9478060835,0
ENSMUSG00000081724.4,3.9864564185,0,0,0.9858075312,0,0,1.9850874524,3.9990483712
ENSMUSG00000108908.4,0.9966141046,0,0,0,0,0,0,0
ENSMUSG00000094858.3,1.9932282093,0,0,0,0,0,0,0
ENSMUSG00000094878.2,0,0,0,0,0,0,0,0.9997620928
ENSMUSG00000044560.3,0,1.9930393839,0,0,0,0,0,0
ENSMUSG00000096566.2,0,0,0,0,0,0,0.9925437262,0
ENSMUSG00000094747.3,0,0,0,2.9574225936,0,0,0,0
ENSMUSG00000109528.2,14.9492115694,8.9686772277,7.9312735638,10.8438828433,15.9591975679,1.9882480976,3.9701749048,12.9969072064
ENSMUSG00000043312.6,0,0,1.982818391,0,1.994899696,0,0,0
ENSMUSG00000108827.3,13.9525974648,1.9930393839,3.9656367819,0,5.984699088,10.9353645368,9.9254372621,5.9985725568
ENSMUSG00000074947.3,9.9661410463,6.9756378437,5.9484551729,8.8722677809,3.989799392,3.9764961952,0,0
ENSMUSG00000074946.5,0.9966141046,0,1.982818391,0,1.994899696,5.9647442928,1.9850874524,4.998810464
ENSMUSG00000074945.3,114.6106220321,116.5928039595,94.1838735704,72.9497573094,107.7245835837,105.3771491723,107.1947224307,93.9776367229
ENSMUSG00000109033.2,0.9966141046,0,0,0,0,1.9882480976,0,4.998810464
ENSMUSG00000109801.2,29.8984231388,20.9269135312,16.8539563231,16.7587280305,7.979598784,27.8354733663,10.9179809883,35.9914353407
ENSMUSG00000050776.3,57.8036180683,26.906031683,26.7680482779,7.8864602497,13.964297872,44.7355821958,35.7315741436,22.9945281343
ENSMUSG00000049758.7,143.5124310662,101.6450085801,134.831650585,57.1768368101,87.7755866237,105.3771491723,140.9412091218,101.9757334652
ENSMUSG00000109522.1,10.9627551509,1.9930393839,5.9484551729,6.9006527185,2.992349544,8.9471164392,8.9328935359,3.9990483712
ENSMUSG00000111259.2,1.9932282093,0,0,0,0,0,0,0
ENSMUSG00000095218.3,0,0,0.9914091955,0.9858075312,0,0,0,0
ENSMUSG00000090824.2,0,0,0,0,0,0.9941240488,0,0
ENSMUSG00000048067.8,3.9864564185,0,1.982818391,0,0,9.941240488,8.9328935359,7.9980967424
ENSMUSG00000056696.5,0,0,0,0,0,0.9941240488,0,0
ENSMUSG00000046493.5,0,0,0,0,0,0,0,3.9990483712
ENSMUSG00000042774.8,0,0,7.9312735638,0,0,0,0,0
ENSMUSG00000094673.4,0,0,0,0,0.997449848,0,0,0
ENSMUSG00000107822.4,0,0.996519692,0,0,0,0,0,0
ENSMUSG00000048996.6,1.9932282093,1.9930393839,1.982818391,3.9432301248,0,5.9647442928,3.9701749048,0
ENSMUSG00000060170.3,0,0,0,0,0,1.9882480976,0,0
ENSMUSG00000108218.2,0.9966141046,0,1.982818391,0,0,0,0,3.9990483712
ENSMUSG00000062204.1,0,0,0,0,0,0.9941240488,0,0
ENSMUSG00000059729.2,0,0,0,0,2.992349544,0.9941240488,0,0
ENSMUSG00000047702.2,1.9932282093,0,0,0,0,0,0,0
ENSMUSG00000101750.3,6.9762987324,0,3.9656367819,0.9858075312,1.994899696,0,11.9105247145,3.9990483712
ENSMUSG00000059864.2,0,0,0,0,1.994899696,0,9.9254372621,2.9992862784
ENSMUSG00000063583.6,0.9966141046,0,0,0,0,0,0.9925437262,0
ENSMUSG00000048292.3,20.9288961972,11.9582363035,33.7079126463,13.8013054369,21.9438966559,13.9177366831,28.7837680601,9.997620928
ENSMUSG00000060556.4,0,0,1.982818391,0,0,0,0,0
ENSMUSG00000060878.4,33.8848795573,10.9617166116,8.9226827593,1.9716150624,15.9591975679,5.9647442928,10.9179809883,14.9964313919
ENSMUSG00000067526.3,1.9932282093,0.996519692,0,0,0.997449848,3.9764961952,1.9850874524,0
ENSMUSG00000044994.10,0,0,0,0.9858075312,0,0,0,0
ENSMUSG00000094133.2,0,0,0.9914091955,0,0,0,0,0
ENSMUSG00000096436.3,0,0,0.9914091955,0,0,0,0,0
ENSMUSG00000046650.4,0,0,0,0,2.992349544,0,1.9850874524,0
ENSMUSG00000044441.5,0,0,0,0,0,0,0,1.9995241856
ENSMUSG00000066748.4,0,0,0,0,0.997449848,0,0,0
ENSMUSG00000061637.5,0,0,0,0,0,0,6.9478060835,0
ENSMUSG00000057503.6,0,0,0,0,0,0.9941240488,3.9701749048,1.9995241856
ENSMUSG00000059043.2,0,0,1.982818391,0,0,0,0,0
ENSMUSG00000054890.2,0.9966141046,0,4.9570459774,0,0,0,0,0
ENSMUSG00000096169.3,6.9762987324,29.8955907589,12.8883195412,8.8722677809,1.994899696,3.9764961952,23.821049429,1.9995241856
ENSMUSG00000111611.1,0,0,0,0,0,0,3.9701749048,0
ENSMUSG00000061165.9,0,0,0,0,1.994899696,1.9882480976,0.9925437262,0
ENSMUSG00000071510.3,0,0,0,5.9148451872,0,0,1.9850874524,0
ENSMUSG00000049362.6,1.9932282093,0,0,0,2.992349544,0,0,1.9995241856
ENSMUSG00000063137.5,0,0,0,0.9858075312,0,0,0,0
ENSMUSG00000066896.6,0,0,1.982818391,0,0,0,0,0.9997620928
ENSMUSG00000108537.1,0,0,0,0,0,0,1.9850874524,0
ENSMUSG00000070417.6,0,0,0.9914091955,0,0.997449848,0,0,0
ENSMUSG00000053251.6,0,0,0,4.929037656,0,0,0,0
ENSMUSG00000044061.7,0,0,1.982818391,0,0,0,0,7.9980967424
ENSMUSG00000069816.5,0,0,0,5.9148451872,0,8.9471164392,0,0
ENSMUSG00000093884.2,1.9932282093,0,2.9742275864,0,0,0,0,0
ENSMUSG00000054141.5,1.9932282093,0,0,0,0,0,0,0
ENSMUSG00000043385.4,7.972912837,6.9756378437,19.8281839096,13.8013054369,9.97449848,6.9588683416,6.9478060835,2.9992862784
ENSMUSG00000056184.5,0,0,0,1.9716150624,0,0,1.9850874524,0
ENSMUSG00000062037.3,0.9966141046,0,0,0,0,0,0,0
ENSMUSG00000075427.15,0,0.996519692,0,0,0,0,0,0
ENSMUSG00000103538.3,0,1.9930393839,0,0,0,0,0,0
ENSMUSG00000059319.3,0,0,0,0,1.994899696,0,0,1.9995241856
ENSMUSG00000072707.3,0,0,0,3.9432301248,0,0,0,0
ENSMUSG00000094805.2,1.9932282093,0,0,0,0,0,0,0
ENSMUSG00000056959.6,0.9966141046,0,3.9656367819,0,0,0,0,0
ENSMUSG00000083034.2,0,0,0,0,0,0.9941240488,0,0
ENSMUSG00000068950.3,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000096822.2,0,1.9930393839,0,0.9858075312,0,0,0,0
ENSMUSG00000053146.2,0,0,0,1.9716150624,0,0,0,0
ENSMUSG00000055088.5,0.9966141046,0,0,0,0,0,0,0
ENSMUSG00000047286.7,0,0,0,0,0,0.9941240488,0,0
ENSMUSG00000061561.5,2.9898423139,0,1.982818391,0.9858075312,0,0.9941240488,0,0
ENSMUSG00000046881.7,0,1.9930393839,1.982818391,0.9858075312,0,0,1.9850874524,1.9995241856
ENSMUSG00000059623.6,7.972912837,0,0,0,1.994899696,0,0,0
ENSMUSG00000069818.6,0,0,0,0,1.994899696,0,0,0
ENSMUSG00000057050.7,0,0,0,1.9716150624,0,0,0,0
ENSMUSG00000049041.6,0,0,0,3.9432301248,0,0,0,0
